0	142 607 1 3 6 3 1 3 607 43 1 2 0 0 2 0 2 608 6 7 0 609 1 1 3 0 2 7 0 1 3 20 0 19 0 4 12 1 3 1 38 0 2 0 0 0 2 0 11 26 2 0 0 1 6 3 1 3 28 1 1 3 6 3 1 3 28 1 1 3 28 1 6 3 1 3 1 3 63 1 1 3 6 3 1 3 1 3 1 3 1 3 12 2 0 88 1 1 1 3 74 1 3 1 1 6 0 0 0 2 0 0 1 2 0 88 1 1 2 0 1 1 2 0 88 0 1 11 26 142 61 1 167 1 2 0 341 1 2 0 0 2 295 5 0 4 1 3 234 1 3 101 14 15 6 3 0 0 0 4 12 2 610 1 0 0 11 26 142 83 1 61 1 167 1 611 6 2 0 0 5 0 4 2 0 0 2 0 0 2 612 2 612 142 61 1 167 1 611 6 2 0 0 0 142 83 1 611 6 5 0 4 2 0 0 4 2 0 341 1 2 0 2 0 0 195 296 1 342 6 5 0 4 2 10 0 0 5 0 4 8 9 1 5 0 0 4 12 2 0 1 64 179 1 1 3 1 2 64 179 0 2 0 11 214 1 3 180 8 9 1 25 11 26 8 9 1 25 5 0 0 0 4 12 1 3 1 0 2 64 179 0 2 0 2 0 11 214 1 3 180 8 9 1 25 11 26 8 9 1 25 1 1 3 0 75 0 22 1 0 2 21 0 6 2 0 0 1 12 2 79 11 137 1 2 21 0 1 2 21 0 1 153 1 2 10 0 0 1 3 613 0 5 0 4 2 0 614 0 7 0 1 153 1 2 10 0 0 1 3 613 0 5 0 4 2 0 615 0 7 0 1 43 1 1 3 5 481 0 4 2 0 0 5 0 4 2 10 0 0 4 2 0 616 0 5 0 4 2 10 0 0 4 2 0 616 0 5 0 4 2 10 0 0 4 2 0 0 5 0 4 2 10 0 0 5 0 4 2 10 0 0 7 0 1 43 1 1 3 14 15 1 3 42 30 0 4 1 3 1 31 2 0 0 0 7 0 1 43 1 5 0 4 7 617 0 4 7 235 0 1 68 1 618 1 12 5 36 4 7 5 60 4 1 3 22 1 0 0 5 36 4 7 118 1 0 4 1 3 1 47 0 5 0 4 2 0 619 1 0 2 44 0 0 1 3 482 0 5 0 4 7 343 0 11 26 2 10 70 32 53 0 0 0 7 6 618 1 6 3 0 14 15 1 3 42 30 4 1 3 1 31 5 62 0 4 2 0 46 14 15 1 3 42 30 4 1 3 1 31 5 62 0 4 2 0 46 7 0 1 43 1 1 3 5 481 0 4 2 0 0 297 0 297 0 5 0 4 2 10 0 0 4 14 15 1 3 42 30 0 4 1 3 1 31 2 0 0 0 5 0 4 2 10 0 0 5 0 481 0 4 2 0 0 297 0 297 0 5 0 4 2 10 0 0 5 0 4 2 10 0 0 7 0 1 43 1 7 607 1 0 1 68 1 618 1 12 5 36 4 7 5 60 4 1 3 22 1 0 0 5 36 4 12 7 620 1 25 11 71 7 4 1 3 1 47 0 5 0 4 2 0 619 1 0 2 44 0 0 1 3 482 0 5 0 4 12 7 620 1 25 0 11 71 7 11 26 2 122 7 1 153 1 6 1 3 613 0 5 0 4 7 0 5 481 0 4 12 2 0 615 0 2 10 0 0 11 196 2 0 614 0 2 10 0 0 4 12 2 0 614 0 2 10 0 0 11 196 5 0 4 8 0 2 0 615 0 2 10 0 0 5 0 4 2 0 7 0 1 153 1 7 58 1 1 153 1 1 3 298 1 6 3 6 3 6 0 20 0 84 0 0 4 2 24 0 0 6 3 621 5 0 4 12 1 3 64 1 1 1 3 1 0 0 622 1 622 1 0 0 7 1 64 0 11 214 1 3 180 5 0 1 4 8 1 0 5 0 1 4 8 1 0 4 8 110 1 25 11 26 8 110 1 25 4 7 0 0 0 1 43 1 2 10 0 0 7 0 1 43 1 1 3 1 3 0 12 14 15 1 3 42 30 4 1 3 1 31 12 2 0 0 0 5 0 4 7 0 0 11 69 2 10 0 0 8 1 0 12 5 0 4 2 35 11 26 1 43 1 5 0 4 7 0 4 7 154 0 2 0 2 0 14 15 1 3 42 30 4 1 3 1 31 12 2 35 11 69 2 0 63 1 299 52 1 300 52 1 2 623 259 52 1 260 52 1 301 52 1 302 52 1 261 52 1 1 1 
1	168 1 3 1 3 1 3 1 3 6 3 0 1 3 168 61 1 2 0 2 0 0 2 0 2 0 168 113 1 2 0 2 0 89 2 0 0 2 0 168 127 1 2 0 2 0 89 2 0 483 2 0 0 484 296 1 342 6 2 0 0 2 0 0 485 1 2 0 0 391 1 7 0 1 7 0 1 7 0 1 7 0 6 7 0 624 1 7 0 1 
2	9 1 3 1 3 0 9 2 9 128 1 2 0 9 128 1 486 1 2 0 2 0 0 9 128 1 486 1 262 1 2 0 0 2 0 0 9 486 1 2 25 2 0 0 9 128 1 262 1 2 0 2 0 0 9 486 1 262 1 2 0 2 0 0 624 1 7 0 169 1 7 25 53 392 262 1 2 0 0 1 7 0 625 2 122 0 625 1 487 0 2 122 0 5 0 4 2 33 2 122 0 625 1 487 0 2 122 0 5 0 4 2 33 2 122 0 1 
3	299 52 1 300 52 1 259 52 1 260 52 1 301 52 1 302 52 1 261 52 1 1 
4	626 236 6 627 344 1 628 488 6 629 345 1 1 
5	630 6 3 1 3 1 3 6 3 0 6 3 102 1 3 29 6 3 626 236 6 2 0 0 627 344 1 2 0 0 629 345 1 2 0 0 628 488 6 2 0 0 299 52 1 2 0 102 300 52 1 1 3 170 5 0 4 2 33 0 4 2 33 0 0 5 0 0 0 1 4 2 122 0 4 5 0 1 4 2 33 25 4 2 33 53 2 33 0 393 102 0 259 52 1 5 0 0 4 2 33 0 143 32 260 52 1 301 52 1 302 52 1 261 52 1 1 3 346 0 0 0 5 346 0 4 5 155 4 1 3 155 123 5 0 4 1 3 0 14 15 6 3 0 0 23 0 4 2 138 2 138 0 2 33 53 1 489 6 6 3 0 6 3 0 5 0 4 7 25 0 0 25 0 0 4 7 25 0 0 1 
6	490 6 3 1 3 63 1 6 3 1 3 6 3 490 61 1 6 2 0 0 2 0 0 1 1 3 179 1 3 1 47 0 5 0 4 2 0 298 1 2 44 0 0 7 0 1 3 179 2 631 0 156 394 6 6 3 6 0 5 0 0 4 5 0 4 2 395 4 1 3 632 2 24 0 5 19 0 4 2 395 2 0 0 1 3 632 25 2 633 0 0 2 303 2 129 5 632 19 4 2 395 1 
7	634 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 6 3 6 3 634 6 215 1 304 1 7 0 0 6 215 1 304 1 347 6 5 62 0 62 0 4 7 1 3 28 1 1 3 85 1 0 0 20 76 4 2 21 66 1 3 28 1 2 0 85 1 0 0 20 76 4 2 21 66 6 3 6 3 19 6 3 6 3 19 20 0 0 0 0 4 1 3 1 38 0 5 16 4 46 5 305 0 1 38 0 0 4 7 2 0 2 0 5 0 0 4 7 5 0 0 4 7 4 7 6 215 1 304 1 7 635 0 0 6 215 1 304 1 347 6 5 62 0 62 0 4 7 1 3 28 1 1 3 85 1 0 0 20 76 4 2 21 66 1 3 28 1 2 0 85 1 0 0 20 76 4 2 21 66 6 3 6 3 19 6 3 6 3 19 20 0 0 0 0 4 1 3 1 38 0 5 16 4 46 5 305 0 1 38 0 0 4 7 2 0 2 0 5 0 0 4 14 15 6 3 0 0 0 0 4 5 38 16 0 4 7 7 4 5 0 0 4 7 20 0 0 0 0 4 1 3 1 38 0 5 16 4 46 5 305 0 1 38 0 0 4 7 2 0 2 0 5 0 0 4 14 15 6 3 0 0 0 0 4 5 38 16 0 4 7 7 20 0 0 0 0 4 6 3 14 15 6 3 0 0 0 0 4 5 38 16 0 4 2 0 0 46 5 0 0 4 2 0 103 6 3 0 0 6 3 0 0 6 3 14 15 6 3 0 0 0 0 4 14 15 6 3 0 0 0 4 1 3 1 38 0 0 1 3 1 38 0 0 0 5 305 0 0 0 4 103 2 0 0 0 46 5 0 4 7 2 0 0 2 0 0 0 14 15 6 3 0 0 0 0 4 5 38 16 0 4 7 7 636 6 215 1 304 1 7 305 0 0 636 6 215 1 304 1 347 6 6 3 491 6 3 491 6 3 6 3 0 6 3 6 3 0 6 3 6 3 14 15 6 3 0 0 0 4 5 0 0 4 2 0 46 5 0 4 5 0 0 4 14 15 6 3 0 0 0 4 2 0 0 0 5 0 4 5 0 0 0 0 4 5 0 216 0 216 0 0 4 5 0 4 20 0 0 0 0 0 4 5 0 4 5 0 0 0 0 4 5 0 216 0 216 0 0 4 2 0 2 0 5 0 0 4 14 15 6 3 0 0 0 0 4 5 0 0 4 7 7 20 0 0 0 0 0 4 5 0 4 5 0 0 0 0 4 5 0 216 0 216 0 0 4 2 0 2 0 5 0 0 4 14 15 6 3 0 0 0 0 4 5 0 0 4 7 7 20 0 0 0 0 4 6 3 14 15 6 3 0 0 0 0 4 5 0 0 4 2 0 0 46 5 0 0 4 2 0 103 6 3 0 0 6 3 0 0 6 3 14 15 6 3 0 0 0 0 4 14 15 6 3 0 0 0 4 2 0 0 0 0 5 0 4 5 0 0 0 0 0 0 4 103 5 0 216 0 216 0 0 0 0 4 103 2 0 0 0 46 5 0 4 7 2 0 0 2 0 0 0 14 15 6 3 0 0 0 0 4 5 0 0 4 7 7 263 492 1 2 348 22 1 58 58 0 0 263 492 1 2 0 0 1 7 0 637 347 6 2 0 0 306 307 1 5 0 4 2 0 4 2 0 1 0 14 15 6 3 0 0 0 4 1 3 2 0 0 0 58 0 58 0 5 80 0 4 2 0 2 0 0 0 308 309 1 5 0 4 2 0 4 2 0 1 0 14 15 6 3 0 0 0 4 1 3 2 0 0 0 58 0 58 0 5 80 0 4 2 0 2 0 0 0 638 5 0 4 8 493 1 5 36 4 8 493 1 0 5 60 4 8 493 1 0 5 0 4 2 0 1 2 0 5 0 4 2 0 1 2 0 28 1 2 0 28 1 2 0 28 1 2 0 28 1 2 0 28 1 2 0 28 1 5 494 4 5 495 4 2 21 4 2 21 4 2 21 2 310 0 5 0 4 7 1 3 1 19 2 114 0 1 3 1 19 2 114 0 14 15 6 3 0 0 0 4 5 496 0 0 4 2 310 22 1 0 0 0 0 0 0 14 15 6 3 0 0 0 4 5 496 0 0 4 2 310 22 1 0 0 0 0 0 0 2 0 144 1 1 6 1 3 101 5 0 4 8 9 1 27 14 15 6 3 0 0 0 4 1 3 0 0 0 1 3 22 1 0 0 0 5 60 4 5 494 0 4 5 495 0 4 2 21 0 5 0 4 2 310 0 0 0 0 4 2 21 0 5 0 496 0 4 2 310 0 0 0 0 4 2 21 0 5 0 496 0 4 2 310 0 0 0 0 5 0 4 2 310 0 0 0 0 5 349 4 5 494 0 4 5 495 0 4 2 21 0 4 2 21 0 4 2 21 0 6 43 1 14 15 6 3 0 0 0 4 5 635 0 0 0 0 4 7 7 6 43 1 14 15 6 3 0 0 0 4 5 0 0 0 0 4 7 7 6 43 1 14 15 6 3 0 0 0 4 5 635 0 0 0 0 4 7 7 639 1 6 3 19 1 3 1 0 14 15 6 3 0 0 0 4 2 0 0 1 38 0 7 0 1 2 497 6 3 19 1 3 1 0 14 15 6 3 0 0 0 4 2 0 0 1 38 0 7 0 1 2 497 6 3 19 1 3 1 0 14 15 6 3 0 0 0 4 2 0 0 1 38 0 7 0 640 1 6 3 19 1 3 1 0 14 15 6 3 0 0 0 4 2 0 0 1 38 0 7 0 1 2 497 6 3 19 1 3 1 0 14 15 6 3 0 0 0 4 2 0 0 1 38 0 7 0 1 2 497 6 3 19 1 3 1 0 14 15 6 3 0 0 0 4 2 0 0 1 38 0 7 0 6 3 0 0 1 3 2 0 1 0 0 5 0 4 2 50 0 0 0 14 15 6 3 0 0 0 4 2 0 0 0 0 0 58 0 58 0 2 0 0 1 
8	6 3 6 2 0 2 0 0 6 7 0 1 
9	1 1 1 640 1 639 1 1 1 638 263 492 1 263 492 1 308 309 1 306 307 1 637 347 6 
