0	17 17 2 4 9 4 2 4 19 8 2 3 0 0 3 0 3 1 7 9 10 0 7 2 2 4 0 3 1 10 0 7 2 4 20 0 1 0 5 14 2 4 2 1 0 3 0 1 0 0 3 0 12 13 3 0 0 2 9 4 2 4 2 2 4 9 4 2 4 2 2 4 2 9 4 2 4 2 4 2 2 4 9 4 2 4 2 4 2 4 2 4 14 3 0 1 2 2 2 4 1 2 4 2 2 9 0 0 0 3 0 1 0 2 3 0 1 2 2 3 0 2 2 3 0 1 0 2 12 13 19 8 2 8 2 3 0 1 2 3 0 0 3 1 6 0 5 2 4 1 2 4 1 15 16 9 4 0 0 0 5 14 3 1 2 0 0 12 13 19 8 2 8 2 8 2 8 9 3 0 0 6 0 5 3 0 0 3 0 0 3 1 3 1 19 8 2 8 2 8 9 3 0 0 0 19 8 2 8 9 6 0 5 3 0 0 5 3 0 1 2 3 0 3 0 0 7 8 2 8 9 6 0 5 3 1 0 0 7 6 0 5 11 2 6 0 0 5 14 3 0 2 1 1 2 2 4 2 3 1 1 0 3 0 12 13 2 4 1 11 2 1 12 13 11 2 1 7 6 0 0 0 5 14 2 4 2 0 3 1 1 0 3 0 3 0 12 13 2 4 1 11 2 1 12 13 11 2 1 7 8 2 2 4 0 1 0 2 0 3 1 0 7 8 9 3 0 0 7 8 2 14 3 1 12 13 7 8 2 3 1 0 7 8 2 3 1 0 7 2 8 2 3 1 0 0 2 4 1 0 6 0 5 3 0 1 0 10 0 7 2 8 2 3 1 0 0 2 4 1 0 6 0 5 3 0 1 0 10 0 7 2 8 2 2 4 6 1 0 5 3 0 1 0 6 0 5 3 1 0 0 5 3 0 1 0 6 0 5 3 1 0 0 5 3 0 1 0 6 0 5 3 1 0 0 5 3 0 1 0 6 0 5 3 1 0 0 6 0 5 3 1 0 0 10 0 7 2 8 2 2 4 15 16 2 4 1 1 0 5 2 4 2 1 3 0 1 0 0 10 0 7 2 8 2 6 0 5 10 1 0 5 10 1 0 7 2 8 2 8 2 14 6 1 5 10 6 1 5 2 4 2 0 0 6 1 5 10 2 0 5 2 4 2 1 0 6 0 5 3 0 2 0 3 1 0 0 2 4 1 0 6 0 5 10 1 0 12 13 3 1 1 1 1 0 0 0 10 7 9 8 2 9 4 0 15 16 2 4 1 1 5 2 4 2 1 6 1 0 5 3 0 22 15 16 2 4 1 1 5 2 4 2 1 6 1 0 5 3 0 22 10 0 7 2 8 2 2 4 6 1 0 5 3 0 0 21 0 1 0 6 0 5 3 1 0 0 5 15 16 2 4 1 1 0 5 2 4 2 1 3 0 1 0 0 6 0 5 3 1 0 0 6 0 1 0 5 3 0 0 21 0 1 0 6 0 5 3 1 0 0 6 0 5 3 1 0 0 10 0 7 2 8 2 10 2 0 7 2 8 2 8 2 14 6 1 5 10 6 1 5 2 4 2 0 0 6 1 5 14 10 2 1 12 13 10 5 2 4 2 1 0 6 0 5 3 0 2 0 3 1 0 0 2 4 1 0 6 0 5 14 10 2 1 0 12 13 10 12 13 3 1 10 7 2 8 2 8 9 2 4 1 0 6 0 5 10 0 6 1 0 5 14 3 0 1 0 3 1 0 0 12 13 3 0 1 0 3 1 0 0 5 14 3 0 1 0 3 1 0 0 12 13 6 0 5 11 0 3 0 1 0 3 1 0 0 6 0 5 3 1 0 10 0 7 2 8 2 10 1 7 2 8 2 8 2 2 4 2 9 4 9 4 9 0 20 0 1 0 0 5 3 1 0 0 9 4 1 6 0 5 14 2 4 1 2 2 2 4 2 0 0 2 2 0 0 10 2 1 0 12 13 2 4 1 6 0 2 5 11 2 0 6 0 2 5 11 2 0 5 11 2 1 12 13 11 2 1 5 10 1 0 0 0 7 2 8 2 3 1 0 0 10 1 0 7 2 8 2 2 4 2 4 1 0 14 15 16 2 4 1 1 5 2 4 2 1 14 3 0 1 0 0 6 0 5 10 1 0 0 12 13 3 1 0 0 11 2 0 14 6 0 5 3 1 12 13 7 2 8 2 6 0 5 10 1 0 5 10 1 0 7 3 0 3 0 15 16 2 4 1 1 5 2 4 2 1 14 3 1 12 13 3 0 2 7 8 2 7 8 2 3 1 7 8 2 7 8 2 7 8 2 7 8 2 7 8 2 2 2 
1	17 2 4 2 4 2 4 2 4 9 4 0 2 4 19 8 2 3 0 3 0 0 3 0 3 0 19 8 2 3 0 3 0 1 3 0 0 3 0 19 8 2 3 0 3 0 1 3 0 1 3 0 0 7 8 2 8 9 3 0 0 3 0 0 7 8 2 3 0 0 7 2 10 0 7 2 10 0 7 2 10 0 7 2 10 0 7 9 10 0 7 2 10 0 2 
2	17 2 4 2 4 0 19 3 19 8 2 3 0 19 8 2 8 2 3 0 3 0 0 19 8 2 8 2 8 2 3 0 0 3 0 0 19 8 2 3 1 3 0 0 19 8 2 8 2 3 0 3 0 0 19 8 2 8 2 3 0 3 0 0 7 2 10 0 7 2 10 1 1 7 8 2 3 0 0 7 2 10 0 7 3 1 0 7 8 2 28 0 3 21 0 6 0 5 3 1 3 1 0 7 8 2 28 0 3 21 0 6 0 5 3 1 3 1 0 2 
3	25 7 8 2 7 8 2 7 8 2 7 8 2 7 8 2 7 8 2 7 8 2 2 
4	25 7 8 9 7 8 2 7 8 9 7 8 2 2 
5	17 9 4 2 4 2 4 9 4 0 9 4 1 2 4 1 9 4 7 8 9 3 0 0 7 8 2 3 0 0 7 8 2 3 0 0 7 8 9 3 0 0 7 8 2 3 0 1 7 8 2 2 4 1 6 0 5 3 1 0 5 3 1 0 0 6 0 0 0 2 5 3 1 0 5 6 0 2 5 3 1 1 5 3 1 1 3 1 0 1 1 0 7 8 2 6 0 0 5 3 1 0 1 1 7 8 2 7 8 2 7 8 2 7 8 2 2 4 1 0 0 0 6 1 0 5 6 1 5 2 4 1 1 6 0 5 2 4 0 15 16 9 4 0 0 1 0 5 3 1 3 1 0 3 1 1 7 2 8 9 9 4 0 9 4 0 6 0 5 10 1 0 0 1 0 0 5 10 1 0 0 2 
6	17 9 4 2 4 2 9 4 2 4 9 4 19 8 2 8 9 3 0 0 3 0 0 7 2 2 4 1 2 4 2 1 0 6 0 5 3 0 2 3 1 0 0 10 0 7 2 4 1 3 1 0 7 8 9 9 4 9 0 6 0 0 5 6 0 5 3 1 5 2 4 1 3 1 0 6 1 0 5 3 1 3 0 0 7 2 4 1 1 3 1 0 0 3 1 7 3 1 7 6 1 1 5 3 1 2 
7	17 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 9 4 9 4 19 7 9 8 2 8 2 10 1 0 0 7 9 8 2 8 2 8 9 6 1 0 1 0 5 10 2 4 2 2 4 2 0 0 20 1 5 3 1 1 2 4 2 3 0 2 0 0 20 1 5 3 1 1 9 4 9 4 1 9 4 9 4 1 20 0 0 0 0 5 2 4 2 1 0 6 1 5 22 6 1 0 2 1 0 0 5 10 3 0 3 0 6 0 0 5 10 6 0 0 5 10 5 10 7 9 8 2 8 2 10 1 0 0 7 9 8 2 8 2 8 9 6 1 0 1 0 5 10 2 4 2 2 4 2 0 0 20 1 5 3 1 1 2 4 2 3 0 2 0 0 20 1 5 3 1 1 9 4 9 4 1 9 4 9 4 1 20 0 0 0 0 5 2 4 2 1 0 6 1 5 22 6 1 0 2 1 0 0 5 10 3 0 3 0 6 0 0 5 15 16 9 4 0 0 0 0 5 6 1 1 0 5 10 10 5 6 0 0 5 10 20 0 0 0 0 5 2 4 2 1 0 6 1 5 22 6 1 0 2 1 0 0 5 10 3 0 3 0 6 0 0 5 15 16 9 4 0 0 0 0 5 6 1 1 0 5 10 10 20 0 0 0 0 5 9 4 15 16 9 4 0 0 0 0 5 6 1 1 0 5 3 0 0 22 6 0 0 5 3 0 24 9 4 0 0 9 4 0 0 9 4 15 16 9 4 0 0 0 0 5 15 16 9 4 0 0 0 5 2 4 2 1 0 0 2 4 2 1 0 0 0 6 1 0 0 0 5 24 3 0 0 0 22 6 0 5 10 3 0 0 3 0 0 0 15 16 9 4 0 0 0 0 5 6 1 1 0 5 10 10 7 9 8 2 8 2 10 1 0 0 7 9 8 2 8 2 8 9 9 4 1 9 4 1 9 4 9 4 0 9 4 9 4 0 9 4 9 4 15 16 9 4 0 0 0 5 6 0 0 5 3 0 22 6 0 5 6 0 0 5 15 16 9 4 0 0 0 5 3 0 0 0 6 0 5 6 0 0 0 0 5 6 0 1 0 1 0 0 5 6 0 5 20 0 0 0 0 0 5 6 0 5 6 0 0 0 0 5 6 0 1 0 1 0 0 5 3 0 3 0 6 0 0 5 15 16 9 4 0 0 0 0 5 6 0 0 5 10 10 20 0 0 0 0 0 5 6 0 5 6 0 0 0 0 5 6 0 1 0 1 0 0 5 3 0 3 0 6 0 0 5 15 16 9 4 0 0 0 0 5 6 0 0 5 10 10 20 0 0 0 0 5 9 4 15 16 9 4 0 0 0 0 5 6 0 0 5 3 0 0 22 6 0 0 5 3 0 24 9 4 0 0 9 4 0 0 9 4 15 16 9 4 0 0 0 0 5 15 16 9 4 0 0 0 5 3 0 0 0 0 6 0 5 6 0 0 0 0 0 0 5 24 6 0 1 0 1 0 0 0 0 5 24 3 0 0 0 22 6 0 5 10 3 0 0 3 0 0 0 15 16 9 4 0 0 0 0 5 6 0 0 5 10 10 7 8 2 3 1 2 1 1 0 0 7 8 2 3 0 0 7 2 10 0 7 8 9 3 0 0 7 8 2 6 0 5 3 0 5 3 0 2 0 15 16 9 4 0 0 0 5 2 4 3 0 0 0 1 0 1 0 6 1 0 5 3 0 3 0 0 0 7 8 2 6 0 5 3 0 5 3 0 2 0 15 16 9 4 0 0 0 5 2 4 3 0 0 0 1 0 1 0 6 1 0 5 3 0 3 0 0 0 7 6 0 5 11 2 6 1 5 11 2 0 6 1 5 11 2 0 6 0 5 3 0 2 3 0 6 0 5 3 0 2 3 0 2 3 0 2 3 0 2 3 0 2 3 0 2 3 0 2 6 1 5 6 1 5 3 1 5 3 1 5 3 1 3 1 0 7 6 0 5 10 2 4 2 1 3 1 0 2 4 2 1 3 1 0 15 16 9 4 0 0 0 5 6 1 0 0 5 3 1 2 0 0 0 0 0 0 15 16 9 4 0 0 0 5 6 1 0 0 5 3 1 2 0 0 0 0 0 0 3 0 7 8 2 8 2 8 9 2 4 1 6 0 5 11 2 1 15 16 9 4 0 0 0 5 2 4 0 0 0 2 4 2 0 0 0 6 1 5 6 1 0 5 6 1 0 5 3 1 0 6 0 5 3 1 0 0 0 0 5 3 1 0 6 0 1 0 5 3 1 0 0 0 0 5 3 1 0 6 0 1 0 5 3 1 0 0 0 0 6 0 5 3 1 0 0 0 0 6 1 5 6 1 0 5 6 1 0 5 3 1 0 5 3 1 0 5 3 1 0 7 9 8 2 15 16 9 4 0 0 0 5 6 1 0 0 0 0 5 10 10 7 9 8 2 15 16 9 4 0 0 0 5 6 1 0 0 0 0 5 10 10 7 9 8 2 15 16 9 4 0 0 0 5 6 1 0 0 0 0 5 10 10 7 2 9 4 1 2 4 2 0 15 16 9 4 0 0 0 5 3 0 0 2 1 0 10 0 7 2 3 1 9 4 1 2 4 2 0 15 16 9 4 0 0 0 5 3 0 0 2 1 0 10 0 7 2 3 1 9 4 1 2 4 2 0 15 16 9 4 0 0 0 5 3 0 0 2 1 0 10 0 7 2 9 4 1 2 4 2 0 15 16 9 4 0 0 0 5 3 0 0 2 1 0 10 0 7 2 3 1 9 4 1 2 4 2 0 15 16 9 4 0 0 0 5 3 0 0 2 1 0 10 0 7 2 3 1 9 4 1 2 4 2 0 15 16 9 4 0 0 0 5 3 0 0 2 1 0 10 0 7 9 4 0 0 2 4 3 0 2 0 0 6 0 5 3 1 0 0 0 15 16 9 4 0 0 0 5 3 0 0 0 0 0 1 0 1 0 3 0 0 2 
8	17 9 4 19 8 9 3 0 3 0 0 7 9 10 0 2 
9	25 7 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 7 8 2 7 8 2 7 8 2 7 8 2 7 8 9 
10	17 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 19 8 2 3 0 2 3 0 2 3 0 2 3 0 2 3 0 2 3 0 0 2 4 1 15 16 9 4 0 0 0 5 2 4 0 0 2 4 1 2 4 1 2 4 1 6 1 0 2 0 1 0 1 0 2 1 0 1 0 2 5 24 6 1 0 2 0 1 0 1 0 2 5 24 6 1 0 1 0 0 1 0 2 5 3 0 0 0 6 1 1 0 0 0 1 5 2 4 1 0 2 4 1 0 0 6 0 5 3 1 0 0 3 1 0 0 6 1 1 1 0 5 2 4 1 0 3 1 0 0 3 1 0 2 7 2 8 2 10 1 0 2 6 1 1 0 0 1 0 2 0 1 0 1 5 14 2 4 0 1 2 2 4 1 0 3 1 0 0 3 1 0 2 7 2 8 2 2 4 1 2 10 0 3 1 0 2 7 8 2 8 2 3 1 0 2 0 12 13 6 1 1 0 0 1 0 2 0 1 0 1 5 14 2 4 0 1 2 2 4 1 0 3 1 0 0 3 1 0 2 7 2 8 2 2 4 1 2 3 1 0 2 0 10 0 12 13 7 2 8 2 2 4 2 1 0 6 0 5 3 0 2 0 3 1 0 0 10 0 7 8 2 8 2 8 2 8 2 2 4 2 1 0 6 0 5 2 4 1 0 0 0 11 2 0 14 3 1 0 0 0 12 13 11 2 0 12 13 2 4 1 6 0 2 5 11 2 0 11 2 0 7 8 2 8 2 8 2 6 0 5 2 4 1 0 0 11 2 0 14 3 1 0 2 0 12 13 11 2 0 12 13 2 4 1 6 0 2 5 11 2 0 11 2 0 7 2 8 2 8 2 8 2 2 4 2 1 0 6 0 5 2 4 1 0 0 0 11 2 0 14 2 4 1 0 6 0 2 5 3 2 0 10 0 12 13 11 2 0 12 13 11 2 0 12 13 2 4 1 6 0 2 5 11 2 0 11 2 0 7 8 2 8 2 8 2 8 2 6 0 5 10 2 4 2 1 0 6 0 5 10 14 3 1 0 0 12 13 11 2 0 12 13 11 2 0 12 13 2 4 1 6 0 2 5 11 2 0 11 2 0 7 2 8 2 2 4 2 1 0 6 0 5 2 4 1 0 11 2 0 10 0 7 2 8 2 2 4 2 1 0 6 0 5 2 4 1 0 11 2 0 10 0 7 9 10 0 7 2 10 1 7 2 10 1 7 2 8 2 8 2 6 1 0 2 5 10 2 7 8 2 8 2 8 2 3 1 0 2 0 6 1 0 2 1 0 5 10 2 7 8 2 8 2 8 2 3 1 0 2 2 1 6 1 0 5 10 2 7 8 2 8 2 8 2 3 1 0 2 2 0 6 1 0 5 10 2 7 8 2 8 2 8 2 3 1 0 2 2 0 6 1 0 5 10 2 7 8 2 8 2 8 2 3 1 0 2 2 0 6 1 0 5 10 2 7 8 2 8 2 8 2 3 1 0 2 2 0 6 1 0 5 10 2 7 8 2 8 2 8 2 3 1 0 2 2 0 6 1 0 5 10 2 7 8 2 8 2 8 2 3 1 0 2 2 0 6 1 0 2 1 0 5 10 2 7 8 2 8 2 8 2 3 1 0 2 2 1 0 6 1 0 2 5 10 2 7 8 2 8 2 8 2 14 3 1 0 2 1 0 12 13 11 2 0 6 1 0 2 5 10 2 7 8 2 8 2 8 2 3 1 0 2 1 0 6 1 0 2 5 10 2 7 8 2 8 2 8 2 3 1 0 2 2 0 0 6 1 0 2 5 10 2 7 8 2 8 2 8 2 14 2 2 2 2 2 2 4 2 2 2 2 2 2 1 3 1 0 3 1 0 2 0 12 13 11 2 0 5 14 2 4 1 2 2 10 2 7 8 2 8 2 8 2 14 2 4 1 2 0 6 0 2 5 3 2 0 3 1 0 2 0 12 13 11 2 0 12 13 10 7 2 8 2 8 2 2 4 1 2 4 6 1 1 5 3 0 1 3 0 6 1 1 5 3 0 6 0 5 2 4 1 20 1 5 2 4 2 1 2 4 2 1 0 6 1 1 0 5 10 0 0 10 1 1 7 2 8 2 8 2 9 4 1 10 1 1 0 25 7 2 8 2 25 7 8 2 8 2 25 7 8 2 8 2 8 2 7 8 2 7 8 2 3 1 3 1 3 1 3 1 3 0 3 1 7 8 2 7 8 2 7 8 2 7 8 2 7 8 2 2 
