name,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29
MemberReference,-0.090792164,-0.18253134,0.11260112,-0.5320701,0.45399404,-0.38778132,-0.013396338,-0.7293276,-0.23707582,-0.4389506,0.1738091,-0.6430763,-0.46304107,0.2846957,0.07376332,-0.25749415,0.3028963,0.22899234,0.541646,0.30424172,-0.4249949,-0.42367208,-0.51268965,-0.680405,0.394265,-0.24547012,0.10080591,0.15363668,-0.69884247,0.059661422,
ReferenceType,0.002136791,-0.37006152,0.2887484,-0.114106424,0.18080638,0.0877226,-0.43465212,0.11074631,-0.031932704,0.16337745,-0.12376405,-0.84346294,-0.6375772,0.49714625,0.860803,0.15022226,0.46422413,0.5115983,0.29811135,0.46283677,-0.52106786,0.031570423,-0.4082949,-0.41586357,-0.0111540565,-0.06843173,-0.033224426,-0.009465114,-0.7620399,0.11070717,
StatementExpression,0.015905203,-0.39075223,-0.23710814,-0.66080153,0.29457974,-0.1552215,0.46573117,-1.0395069,-0.40872166,-0.4660737,0.09108345,-0.57895494,-0.7707687,0.5669823,-0.07148611,-0.14178109,0.39388064,0.45905074,-0.06751386,0.1760109,-0.58844256,-0.29806212,-0.46278384,-0.8060051,0.2935994,-0.3444998,0.08697297,0.15266982,-0.4542381,0.0901797,
VariableDeclarator,-0.051703516,-0.56560796,0.60232806,-0.18295382,-0.11827033,-0.064041935,-1.173352,0.50306726,0.35664767,0.24728365,0.18859284,-0.7400132,-0.82666206,0.18482408,0.5205452,-0.16753753,0.24137415,0.29208818,0.62113976,0.78701246,-0.34799135,-0.14644071,-0.27411652,-0.88646597,-0.2526697,-0.14304398,0.09615928,0.2549515,-1.0189005,0.1730324,
BlockStatement,-0.21332872,0.2826256,0.28591827,-0.80568355,0.11043129,0.028426863,-0.0005601669,-0.37028503,0.03577361,-0.18875122,0.48211852,-0.127987,-0.5037785,-0.01862022,0.22056793,-0.75924087,0.30296394,0.3430966,0.5388792,0.5702902,-0.93533,0.10662245,-0.8815562,-0.972246,0.73437756,-0.07329402,0.09111966,-0.20756859,-0.09524407,0.74542,
IfStatement,-0.17232433,0.03739098,0.09563825,-0.9420472,0.17667797,-0.18126601,0.05595144,-0.21766919,-0.17062071,-0.16835032,0.57735276,-0.35519,-0.5595137,-0.20866048,0.10917707,-0.7805984,0.50313133,0.027166827,0.3630382,0.16215904,-0.90975904,0.1312068,-0.93252325,-0.78854764,0.37474114,0.13473117,-0.10076345,0.073199034,-0.29836178,0.54433304,
BasicType,-0.25652426,0.13399695,0.7078582,-0.41729218,-0.15000172,-0.8425927,-0.42765084,0.29181078,0.13606176,-0.29965994,0.08919463,-0.6803861,-0.56225467,-0.31573606,0.24787563,-0.60533077,0.3625262,0.20811991,1.1522048,0.16073462,-0.15633023,-0.6273088,0.03143585,0.14020294,0.53498536,-0.65574974,0.36496982,0.5747668,-0.3712483,-0.04192748,
ReturnStatement,-0.033492878,-0.13275132,0.5372132,-0.734461,0.30254957,-0.122798234,-0.18601774,0.2844053,-0.10843149,-0.25907728,-0.2209576,-0.08403939,-0.47146443,0.27650845,0.16358912,-0.09996406,0.41176558,0.5230866,0.44273803,-0.09862134,-0.17290978,-0.11130611,-0.84858805,-0.25860626,0.6499226,0.22743848,-0.09276913,0.29291132,-0.36933246,0.15483262,
ThrowStatement,0.3143517,-0.21711856,-0.029635713,-0.9306751,1.3330537,0.07473596,-0.09028756,0.3335758,-0.45689633,0.36944693,0.6199329,0.115379006,-0.4906407,-0.69098246,1.038709,0.01920365,0.5878587,0.11973161,0.22283953,0.017398171,-0.4204619,-0.93995124,-1.0121771,-0.7216408,0.66912055,0.42611498,-0.23889929,-0.036565457,-0.3805797,0.85949767,
BuildException,0.26015252,-0.15486541,-0.26094493,-0.9816231,1.0093454,-0.28330323,-0.13586564,0.3118488,-0.73949,0.53539187,0.796367,-0.068999946,-0.66166294,-0.6210162,1.042461,-0.10779425,-0.06719002,0.41670418,0.41424537,-0.12209938,-0.28644836,-0.24619754,-1.1027118,-0.82602805,0.13137357,-0.079167016,-0.04339492,-0.37931743,-0.57009214,0.54015934,
log(),0.041933786,-0.19898754,-0.060696024,-0.5424592,0.6038066,-0.022115689,0.36472434,-0.02852369,-0.8251662,-0.33010152,0.41092882,-0.49853873,0.008896771,-0.1799803,0.45339614,-0.5212964,0.063606806,0.43132678,0.9680106,0.23482035,-0.25516605,0.064435706,-0.8564017,-0.9922207,-0.097035386,-0.20882244,0.102476865,0.053048972,-0.7556409,0.71895087,
CatchClause,-0.59481263,0.08333467,-0.47581527,-0.65773445,0.17778637,0.21388489,-0.14216815,0.8803735,-1.2974051,0.3845461,0.5826786,-0.65559536,0.44477516,0.012966174,0.5256747,-0.24676347,-0.058544844,0.16518238,0.3334688,0.21756482,0.48655397,-0.54337806,-1.6525067,-1.081397,0.12048885,-0.60743946,0.005044254,-0.0811923,-0.91870993,0.41633373,
append(),-0.4288224,-0.2106805,1.2474952,-1.4811658,-0.00755472,-0.3149918,-0.73747057,-0.05677316,-0.7018071,0.21557637,-0.046626557,0.080288336,0.4773936,0.5384318,0.6809128,-0.6375068,1.2353405,1.1442891,0.26858833,1.1662481,-0.71639776,0.51357543,-0.5171697,-0.88544494,0.52767974,-0.49292555,0.015431809,0.00190458,-0.9349384,0.7210595,
TryStatement,-0.33337387,-0.15975621,0.20103148,-0.05489172,0.5903089,0.25334218,-0.060484685,0.470035,-0.4422869,0.12794767,0.42180094,-0.7958603,-0.13157003,-0.3966515,0.19326934,-0.628155,0.11986385,0.22527283,0.26291287,0.39046785,0.28303322,-0.4809892,-0.90032697,-0.754069,0.046879172,-0.43664396,-0.24168535,-0.6126857,-1.0526469,0.4894075,
equals(),-0.73578924,0.47496668,0.058060743,-0.6728649,0.44947892,-0.5502776,-1.0214045,0.16748872,-0.1339867,-0.5817248,0.3836069,-0.45419002,-0.29558635,-0.4523615,-0.06998927,-0.059766155,0.3420312,0.5122291,0.95515764,0.5385146,-0.3381315,0.5164931,-1.2786896,-0.53595644,0.29638836,0.21004897,0.6803969,0.002913807,-0.14309236,0.5636174,
ForStatement,-0.96209025,-0.4123192,1.485738,-0.85149336,0.5048279,0.11029184,-0.14272138,-0.4504086,0.0027500533,0.32062432,0.91103303,-0.835156,-0.7167746,0.13322206,0.31988722,-0.63887376,0.22071026,-0.20607091,0.75536203,-0.016280914,-0.35900944,0.16647434,-0.15443376,-0.82513195,0.19643041,-0.27711,0.7392728,0.094813004,-0.6752806,1.0954714,
