org.apache.camel.Body	MemberReference,MemberReference
org.apache.camel.CamelContext	CamelContext,addComponent,componentName,ReferenceType,component,ReferenceType,getComponent,ReferenceType,componentName,ReferenceType,getComponent,ReferenceType,ReferenceType,name,ReferenceType,componentType,ReferenceType,ReferenceType,removeComponent,ReferenceType,componentName,ReferenceType,getOrCreateComponent,ReferenceType,componentName,ReferenceType,factory,ReferenceType,ReferenceType,getEndpoint,ReferenceType,uri,ReferenceType,getEndpoint,ReferenceType,ReferenceType,name,ReferenceType,endpointType,ReferenceType,ReferenceType,getSingletonEndpoints,ReferenceType,ReferenceType,addSingletonEndpoint,ReferenceType,uri,ReferenceType,endpoint,ReferenceType,removeSingletonEndpoint,ReferenceType,uri,ReferenceType,getRoutes,ReferenceType,ReferenceType,setRoutes,routes,ReferenceType,ReferenceType,addRoutes,routes,ReferenceType,ReferenceType,addRoutes,builder,ReferenceType,getExchangeConverter,ReferenceType,getTypeConverter,ReferenceType,getInjector,ReferenceType,ReferenceType
org.apache.camel.CamelException	CamelException,CamelException,CamelException,message,ReferenceType,StatementExpression,MemberReference,CamelException,message,ReferenceType,cause,ReferenceType,StatementExpression,MemberReference,MemberReference,CamelException,cause,ReferenceType,StatementExpression,MemberReference,ReferenceType
org.apache.camel.CamelTemplate	CamelTemplate,ReferenceType,VariableDeclarator,ReferenceType,ReferenceType,VariableDeclarator,ProducerCache,ReferenceType,ReferenceType,BasicType,VariableDeclarator,ReferenceType,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,HashMap,ReferenceType,ReferenceType,ReferenceType,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,CamelTemplate,context,ReferenceType,StatementExpression,MemberReference,MemberReference,CamelTemplate,context,ReferenceType,defaultEndpoint,ReferenceType,StatementExpression,MemberReference,StatementExpression,MemberReference,MemberReference,send,ReferenceType,endpointUri,ReferenceType,exchange,ReferenceType,ReferenceType,VariableDeclarator,resolveMandatoryEndpoint(),MemberReference,StatementExpression,send(),MemberReference,MemberReference,ReturnStatement,MemberReference,send,ReferenceType,endpointUri,ReferenceType,processor,ReferenceType,ReferenceType,VariableDeclarator,resolveMandatoryEndpoint(),MemberReference,ReturnStatement,send(),MemberReference,MemberReference,send,ReferenceType,endpoint,ReferenceType,ReferenceType,exchange,ReferenceType,ReferenceType,VariableDeclarator,toExchangeType(),MemberReference,StatementExpression,send(),MemberReference,MemberReference,ReturnStatement,MemberReference,send,ReferenceType,endpoint,ReferenceType,ReferenceType,processor,ReferenceType,ReturnStatement,send(),MemberReference,MemberReference,sendBody,ReferenceType,endpoint,ReferenceType,ReferenceType,body,ReferenceType,ReferenceType,VariableDeclarator,send(),MemberReference,Processor,ReferenceType,process,exchange,ReferenceType,ReferenceType,VariableDeclarator,getIn(),StatementExpression,setBody(),MemberReference,ReturnStatement,extractResultBody(),MemberReference,sendBody,ReferenceType,endpointUri,ReferenceType,body,ReferenceType,ReferenceType,VariableDeclarator,send(),MemberReference,Processor,ReferenceType,process,exchange,ReferenceType,ReferenceType,VariableDeclarator,getIn(),StatementExpression,setBody(),MemberReference,ReturnStatement,extractResultBody(),MemberReference,sendBody,ReferenceType,endpointUri,ReferenceType,body,ReferenceType,header,ReferenceType,headerValue,ReferenceType,ReferenceType,VariableDeclarator,send(),MemberReference,Processor,ReferenceType,process,exchange,ReferenceType,ReferenceType,VariableDeclarator,getIn(),StatementExpression,setHeader(),MemberReference,MemberReference,StatementExpression,setBody(),MemberReference,ReturnStatement,extractResultBody(),MemberReference,sendBody,ReferenceType,endpointUri,ReferenceType,body,ReferenceType,headers,ReferenceType,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,send(),MemberReference,Processor,ReferenceType,process,exchange,ReferenceType,ReferenceType,VariableDeclarator,getIn(),ForStatement,EnhancedForControl,ReferenceType,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,entrySet(),BlockStatement,StatementExpression,setHeader(),getKey(),getValue(),StatementExpression,setBody(),MemberReference,ReturnStatement,extractResultBody(),MemberReference,sendBody,ReferenceType,body,ReferenceType,ReturnStatement,sendBody(),getMandatoryDefaultEndpoint(),MemberReference,send,ReferenceType,exchange,ReferenceType,ReturnStatement,send(),getMandatoryDefaultEndpoint(),MemberReference,send,ReferenceType,processor,ReferenceType,ReturnStatement,send(),getMandatoryDefaultEndpoint(),MemberReference,getProducer,ReferenceType,ReferenceType,endpoint,ReferenceType,ReferenceType,ReturnStatement,getProducer(),MemberReference,getContext,ReferenceType,ReturnStatement,MemberReference,getDefaultEndpoint,ReferenceType,ReferenceType,ReturnStatement,MemberReference,setDefaultEndpoint,defaultEndpoint,ReferenceType,ReferenceType,StatementExpression,MemberReference,MemberReference,setDefaultEndpointUri,endpointUri,ReferenceType,StatementExpression,setDefaultEndpoint(),getContext(),getEndpoint(),MemberReference,isUseEndpointCache,BasicType,ReturnStatement,MemberReference,setUseEndpointCache,useEndpointCache,BasicType,StatementExpression,MemberReference,MemberReference,resolveMandatoryEndpoint,ReferenceType,endpointUri,ReferenceType,ReferenceType,VariableDeclarator,IfStatement,isUseEndpointCache(),BlockStatement,SynchronizedStatement,MemberReference,StatementExpression,MemberReference,get(),MemberReference,IfStatement,MemberReference,BlockStatement,StatementExpression,MemberReference,getEndpoint(),MemberReference,IfStatement,MemberReference,BlockStatement,StatementExpression,put(),MemberReference,MemberReference,BlockStatement,StatementExpression,MemberReference,getEndpoint(),MemberReference,IfStatement,MemberReference,BlockStatement,ThrowStatement,NoSuchEndpointException,ReferenceType,MemberReference,ReturnStatement,MemberReference,getMandatoryDefaultEndpoint,ReferenceType,ReferenceType,ReferenceType,ReferenceType,VariableDeclarator,getDefaultEndpoint(),StatementExpression,notNull(),MemberReference,ReturnStatement,MemberReference,doStart,StatementExpression,start(),doStop,StatementExpression,stop(),extractResultBody,ReferenceType,result,ReferenceType,ReturnStatement,MemberReference,getOut(),getBody(),ReferenceType,ReferenceType
org.apache.camel.Component	Component,getCamelContext,ReferenceType,setCamelContext,context,ReferenceType,createEndpoint,ReferenceType,ReferenceType,uri,ReferenceType,ReferenceType
org.apache.camel.Consumer	Consumer,ReferenceType,ReferenceType
org.apache.camel.Converter	MemberReference,MemberReference,MemberReference
org.apache.camel.Endpoint	Endpoint,isSingleton,BasicType,getEndpointUri,ReferenceType,createExchange,ReferenceType,createExchange,ReferenceType,exchange,ReferenceType,toExchangeType,ReferenceType,exchange,ReferenceType,getContext,ReferenceType,createProducer,ReferenceType,ReferenceType,createConsumer,ReferenceType,ReferenceType,processor,ReferenceType,createPollingConsumer,ReferenceType,ReferenceType,ReferenceType
org.apache.camel.EndpointInject	MemberReference,MemberReference,MemberReference,MemberReference,ReferenceType,ReferenceType
org.apache.camel.Exchange	Exchange,getExchangeId,ReferenceType,setExchangeId,id,ReferenceType,getProperty,ReferenceType,name,ReferenceType,getProperty,ReferenceType,name,ReferenceType,type,ReferenceType,ReferenceType,setProperty,name,ReferenceType,value,ReferenceType,getProperties,ReferenceType,ReferenceType,ReferenceType,getIn,ReferenceType,getOut,ReferenceType,getOut,ReferenceType,lazyCreate,BasicType,getFault,ReferenceType,getException,ReferenceType,setException,e,ReferenceType,getContext,ReferenceType,copy,ReferenceType,copyFrom,source,ReferenceType
org.apache.camel.ExpectedBodyTypeException	ExpectedBodyTypeException,ReferenceType,VariableDeclarator,ReferenceType,VariableDeclarator,ExpectedBodyTypeException,exchange,ReferenceType,expectedBodyType,ReferenceType,StatementExpression,MemberReference,getIn(),getBody(),StatementExpression,MemberReference,MemberReference,StatementExpression,MemberReference,MemberReference,getExchange,ReferenceType,ReturnStatement,MemberReference,getExpectedBodyType,ReferenceType,ReturnStatement,MemberReference,ReferenceType
