emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
0.6718031,-0.3052342,0.23029256,-0.6993293,-0.81653756,0.40433106,0.21337382,0.119822085,-0.030162381,-0.52186406,-0.32430625,-0.08594718,-0.45018688,0.09210021,0.95208746,-0.6373733,-0.008205094,0.8842979,0.3742199,0.06549367,0.1245065,-0.6484077,0.032341275,-0.040255196,0.2576307,0.12729627,-0.96360177,-0.2615142,-0.22956342,-0.3685246,-0.581142,0.2814704
0.13766946,0.9638768,-0.056260213,-0.3471169,-0.62944484,-0.24725676,-0.16318125,0.4302771,-0.5951508,-1.5050745,-0.3953764,-0.030167716,1.3175519,0.2756933,1.4200318,-0.3192118,0.08472752,1.0237902,-0.46089467,-0.10955897,0.24426225,0.25333038,0.21893369,0.3782193,1.0136232,0.6084606,0.25376856,-0.7533768,-0.009843265,-0.6926663,0.036196508,-0.49932128
0.19661349,0.76462847,0.009341452,-0.11266158,-0.21612455,-0.076062776,-0.28956506,0.83627826,-0.47063422,-1.0962601,-0.5728864,-0.5234805,1.6497731,0.3672384,1.3828659,-0.09175044,-0.20737706,0.809433,-0.2089733,-0.53338593,0.40271276,0.41063187,0.36676955,0.040601812,1.0101346,0.25322157,0.1520832,-0.8022962,-0.12444366,-0.7125049,-0.06958865,-0.3133449
0.067583665,0.0130748255,0.01144712,-0.06781645,-0.10379175,0.043779634,-0.03293846,0.085503615,-0.057889823,-0.076101236,0.05943953,0.07806526,-0.03642428,0.010852084,0.13454722,-0.061085165,0.0071389694,0.10747879,0.014553027,0.021023007,0.10862293,0.043756094,-0.013687303,-0.051917996,0.0046290844,0.010958033,-0.080048196,-0.07491574,-0.009983616,-0.09671869,-0.049336426,0.000954974
-0.04067428,0.50135416,0.29696086,-0.6219143,0.045571912,0.12988962,0.24416372,0.9574461,-0.22687551,-0.8824497,0.1436059,-0.06919014,0.12587824,-0.41487265,0.48771822,-0.07427051,-0.021308515,0.22423762,0.091556266,-0.47471744,1.0036557,0.031051885,0.33272338,-0.6565251,-0.7720215,0.85318804,-0.053961445,-0.18600342,-0.5037837,0.18711333,0.04097945,0.29531056
-0.007931029,0.36350387,-0.38350415,-0.6718377,0.1066128,0.13296926,-0.04638505,1.2323916,-0.25660142,-0.29194903,0.26212078,0.012625959,0.5925982,0.21757573,0.6781563,0.44035962,-0.20535797,0.026942339,-0.15813586,-0.40943247,0.6525657,0.68608755,0.04732084,-0.6039471,-0.21310766,0.047930006,-0.2912684,-0.72758985,-0.0022880663,-0.46496278,-0.088883966,-0.018038157
1.0734372,-0.45551154,0.7781106,-1.392614,-1.2760081,0.36964718,0.2773674,0.027747393,-0.050118532,-1.2445416,-0.7076081,-0.09075486,-0.90816206,-0.12956081,1.2410139,-0.68476737,0.15848747,0.9243647,0.40954626,0.26430795,0.1017485,-0.8591444,-0.4421534,-0.119980134,-0.18162614,0.48905453,-1.4102646,-0.40514305,-0.0035611037,-0.10610358,-1.145263,0.7684794
1.2172359,-0.30759203,0.6245417,-1.468681,-0.4583118,0.6714502,0.09744972,0.71890396,0.2929606,-0.5952268,-0.63822776,-0.26841432,-0.27225325,0.08240244,1.3544317,-0.53810704,-0.41199315,0.35344127,0.66172934,-0.24324611,0.6298617,-1.1272539,0.14573447,-0.29347232,-0.03966887,0.43965322,-1.2423395,-0.47472972,-0.38565868,-0.1291342,-0.9424786,0.82761896
0.1954347,0.50739413,-0.11926287,-0.49242938,0.0243515,0.04276104,-0.24919765,0.65872973,-0.46440652,-0.22875172,0.21545495,0.49285227,0.45210752,-0.19859535,0.43761897,0.28750774,-0.07122895,-0.13175677,0.06416623,0.0132905375,0.47924885,0.21654618,-0.19430616,-0.3024272,-0.21692964,0.09892634,0.029504303,-0.5354888,0.13767979,-0.50900966,-0.07133803,-0.042324886
0.18544029,0.22851127,0.5010991,-0.68484354,0.20302738,0.22910829,-0.05086268,1.3738092,-0.0077641783,-0.9566159,0.32182634,0.13233821,0.24646825,-0.061678857,0.04842523,-0.24130172,0.05332872,0.2252488,-0.1071318,-0.3308246,1.1703515,0.15007614,0.48036525,-0.62903214,-0.8087416,0.13096099,0.06773676,-0.56653416,-0.4892837,0.24517204,-0.417596,0.33474407
