0	16 6 4 10 6 8 6 22 0 11 7 11 7 11 7 11 7 11 7 11 7 11 7 11 7 11 7 11 7 11 7 11 7 11 7 11 7 11 7 11 7 15 3 3 3 6 4 6 4 6 4 6 4 6 4 6 4 6 4 6 4 3 3 3 4 6 4 6 4 6 4 6 4 6 4 6 4 6 4 10 8 6 6 4 6 0 6 4 6 0 6 4 6 0 19 5 0 9 2 1 0 0 0 0 0 2 1 0 0 0 0 0 2 0 0 2 1 0 0 0 0 0 2 1 0 0 0 0 0 2 0 0 2 1 0 0 0 0 0 2 1 0 0 0 0 0 2 0 0 2 0 0 0 9 2 1 0 0 0 0 0 2 0 0 2 1 0 0 0 0 0 2 0 0 2 1 0 0 0 0 0 2 0 0 2 0 0 13 14 15 3 1 2 0 0 2 0 10 6 4 5 0 2 0 0 19 5 0 1 0 0 0 9 2 1 15 3 3 3 2 0 0 7 13 14 5 0 9 2 0 2 1 9 2 0 0 0 2 0 0 0 15 0 10 6 5 0 0 2 1 7 0 0 10 6 5 0 9 2 0 7 0 0 0 0 0 0 2 0 2 0 7 1 10 5 0 0 9 5 0 9 2 0 2 0 0 2 1 5 0 0 2 0 0 5 0 0 2 1 2 0 0 10 8 6 2 0 5 0 9 2 0 2 0 0 5 0 9 2 0 5 0 9 2 0 2 0 0 22 0 11 2 0 12 11 2 0 12 11 2 0 2 0 0 12 11 12 2 0 0 0 2 0 0 0 10 6 5 0 9 2 0 7 0 0 0 0 0 6 4 5 0 0 2 1 5 0 0 0 6 6 1 9 2 1 0 6 4 17 18 9 5 0 0 2 1 19 5 0 0 0 6 6 1 9 2 1 0 5 0 0 9 5 0 2 0 0 12 2 1 0 7 13 14 5 0 2 1 0 7 2 1 0 2 0 19 23 0 6 6 1 2 0 2 0 0 0 6 1 0 1 6 6 1 1 6 6 1 1 6 6 1 2 0 13 14 15 3 0 0 5 0 7 0 9 2 1 0 7 9 2 1 0 7 0 10 6 7 0 0 10 6 7 0 0 10 6 7 0 0 10 6 7 0 0 10 6 7 0 0 10 6 7 0 0 10 8 6 2 0 0 5 0 0 2 0 0 20 8 3 3 3 8 6 8 6 8 6 2 0 0 2 0 0 2 0 0 2 0 0 0 2 0 6 0 2 0 6 0 2 0 6 0 2 0 6 20 8 3 3 3 8 6 8 6 2 0 0 0 10 8 3 3 3 8 6 8 6 8 6 2 0 0 2 0 0 2 0 0 5 0 0 0 9 2 0 0 0 2 0 6 0 2 0 6 0 2 0 6 0 2 0 6 2 0 0 2 0 0 0 2 0 0 10 8 3 3 3 8 6 8 6 2 1 0 0 0 20 8 3 3 3 8 6 8 6 8 6 2 3 3 3 0 0 0 20 8 3 3 3 8 6 8 6 2 0 0 0 10 8 3 3 3 8 6 8 6 8 6 2 1 3 3 3 0 0 0 10 8 3 3 3 8 6 8 6 2 1 0 0 0 10 3 5 0 0 7 3 0 0 0 0 7 3 0 0 0 0 3 0 0 10 6 8 6 6 4 6 0 5 0 0 2 1 0 0 0 0 0 9 2 1 0 0 0 0 0 0 0 2 1 0 0 0 0 0 7 0 10 2 0 2 0 2 0 2 0 10 8 6 8 6 6 4 0 6 4 5 0 0 9 2 0 0 0 0 9 2 0 0 0 0 0 6 4 4 4 6 4 4 23 0 0 0 0 0 0 0 0 0 0 9 2 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 2 0 0 2 0 5 0 0 9 2 0 0 0 2 0 0 0 0 23 0 0 9 5 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 2 0 0 0 2 0 0 0 
1	16 20 8 3 2 0 0 10 8 3 8 3 5 1 0 2 25 0 0 2 1 1 0 0 10 6 8 3 7 25 0 3 
2	16 20 8 6 2 0 10 3 8 3 8 3 3 4 3 1 3 4 3 1 5 0 3 9 3 4 3 0 5 0 3 7 1 0 3 0 0 0 7 1 0 3 0 0 0 7 1 3 0 3 0 0 0 10 3 8 3 8 3 8 3 8 3 3 4 1 3 4 1 0 3 4 1 0 0 5 0 15 3 6 4 1 5 0 9 3 4 3 1 7 1 0 0 0 0 0 7 1 0 0 10 3 8 3 8 3 19 7 1 0 0 13 14 15 3 1 13 14 2 1 1 15 3 1 10 3 8 3 8 3 8 3 8 3 8 3 5 1 15 3 0 3 4 1 3 4 3 0 2 1 0 2 1 0 0 2 1 7 1 1 0 0 10 3 8 3 8 3 8 3 8 3 3 4 1 3 4 1 0 5 0 15 3 1 0 3 4 1 0 0 0 5 0 0 7 0 7 1 0 0 10 3 8 3 8 3 8 3 8 3 3 4 1 3 4 1 0 0 0 5 0 0 7 0 7 1 0 0 10 3 8 3 8 3 19 7 1 0 0 13 14 15 3 0 13 14 15 3 1 3 
3	16 3 4 20 8 6 2 0 10 3 8 3 7 1 0 10 3 8 3 8 3 7 1 1 0 0 1 10 3 8 3 7 1 1 0 10 3 8 3 8 3 7 1 1 0 0 1 10 3 8 3 8 3 15 3 10 3 7 0 3 
4	16 20 8 6 2 0 10 3 8 3 8 3 3 4 3 1 17 18 6 4 0 0 0 2 0 0 3 1 0 7 0 3 
5	16 3 4 6 4 6 4 20 8 6 2 0 10 2 0 10 3 8 3 8 3 8 3 2 1 0 2 0 0 7 1 0 0 10 3 8 3 8 3 3 4 3 1 5 0 3 9 5 0 15 3 3 4 3 0 3 4 1 2 0 6 1 0 5 0 0 15 3 0 0 3 4 0 17 18 6 4 0 0 0 9 2 0 0 1 0 5 0 0 2 0 1 0 7 0 9 2 0 6 1 17 18 6 4 0 0 0 9 19 3 4 3 1 0 2 0 0 3 0 13 14 15 3 0 7 0 3 
6	16 20 8 6 2 0 10 3 8 3 8 3 15 3 10 3 8 3 8 6 8 3 8 3 6 4 1 6 4 6 0 2 0 0 3 4 1 0 0 17 18 6 4 0 0 0 9 3 4 3 1 0 3 4 5 0 3 9 5 0 15 3 0 2 0 3 0 2 0 1 0 0 5 0 0 15 3 0 3 4 5 0 3 2 0 3 0 2 0 0 19 2 1 0 0 0 13 14 2 1 0 2 1 0 0 0 13 14 2 1 0 2 1 0 0 0 7 0 10 8 3 8 3 8 6 3 4 1 0 3 4 5 0 3 2 0 3 0 2 0 1 1 15 3 0 0 0 3 
7	16 6 4 20 8 6 2 0 10 3 8 3 8 3 3 4 3 1 5 0 15 3 3 4 1 0 0 5 0 15 3 3 4 3 1 5 0 0 15 3 22 0 11 19 7 1 0 13 14 2 1 11 7 1 1 1 0 0 11 7 1 1 1 0 0 11 7 1 1 1 0 0 11 7 1 1 1 0 0 11 7 1 1 1 0 0 11 7 1 1 1 0 0 11 7 1 1 1 0 0 11 7 1 1 1 0 0 11 7 1 1 1 0 0 11 7 1 1 1 0 0 11 7 1 1 1 0 0 11 15 3 10 3 8 3 8 3 8 6 5 0 3 0 0 9 5 0 0 15 3 7 3 0 0 5 0 3 0 3 5 0 0 0 0 15 3 5 0 0 0 0 15 3 5 0 3 0 3 0 3 0 3 0 3 0 3 0 3 0 3 9 7 1 0 0 0 15 3 1 0 0 1 3 3 
8	16 6 4 20 8 6 2 0 10 3 8 3 8 3 3 4 3 1 5 0 0 9 5 0 0 7 3 5 0 3 7 3 3 4 1 3 4 3 1 6 4 1 0 1 7 3 0 5 0 0 0 0 9 3 4 0 5 1 0 2 0 3 0 5 0 3 3 0 7 3 5 0 0 0 0 9 3 4 0 5 1 0 2 0 3 0 5 0 3 3 0 7 3 6 4 1 0 3 4 3 1 6 4 1 0 5 0 1 0 0 1 0 9 5 0 0 0 0 9 19 7 1 0 0 0 13 14 2 1 22 0 11 7 3 0 0 11 7 3 0 0 11 5 0 3 0 3 7 1 1 11 5 0 3 0 3 5 0 0 0 0 15 3 5 0 0 0 0 15 3 15 3 0 0 10 6 8 3 7 0 3 0 0 0 0 10 6 8 3 7 0 3 0 3 0 3 3 3 
9	16 20 8 6 2 0 10 3 8 3 8 3 7 1 0 0 10 3 8 3 8 3 8 6 3 4 0 6 4 1 3 4 5 0 9 2 0 1 3 4 3 0 2 1 0 17 18 6 4 0 0 0 9 3 4 3 1 0 2 0 1 0 0 5 0 3 12 5 0 2 1 0 7 0 3 
