name,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29
MemberReference,-0.19074686,0.15718791,-0.057838637,-0.15172233,-0.18995199,0.028064482,-0.1608117,-0.12258829,0.03806166,0.08162439,-0.09432616,-0.4622149,0.20415874,-0.07847466,-0.1389793,-0.21758765,-0.25066972,-0.1711291,-0.13490978,-0.37715772,0.37770435,0.39454642,0.11920413,0.17088972,-0.076112725,0.10854532,-0.19020627,-0.11190128,0.009150082,-0.1320065,
MethodInvocation,-0.027822835,0.12548277,-0.16111402,-0.1587028,0.19150285,-0.18389319,-0.039267253,-0.044699606,0.05357417,0.055880412,-0.020230025,-0.07306683,0.09265467,0.11583719,0.08545081,-0.17746282,-0.18331492,-0.12038412,-0.23350269,-0.44737887,0.33954355,0.4427482,0.034469087,0.59445727,-0.05198429,0.2043662,-0.17341426,-0.121627055,-0.1008815,-0.014566496,
StatementExpression,-0.08040858,0.18368651,0.11136499,-0.22617933,-0.072744235,-0.005373487,0.059675977,0.042384233,-0.02581474,-0.15053664,-0.13832478,-0.02129979,0.09158386,-0.03273715,0.036229033,0.015121459,-0.014998512,-0.20733586,-0.17851202,-0.35338223,0.4857142,0.3789195,0.016554108,0.7298311,-0.16485974,0.13342291,-0.124620005,-0.026426313,-0.041442294,0.004401007,
ReferenceType,-0.011999112,-0.13258779,0.18090951,0.17201227,0.27260908,0.23882627,0.06758139,-0.10373993,0.1181214,0.3274111,-0.24774097,-0.33442795,-0.07930125,0.053732384,0.098551124,-0.20253731,0.026631327,-0.10189279,-0.0909522,-0.39404628,0.34200892,0.38853592,0.17524172,0.55885047,-0.26165572,0.2318616,-0.10325826,0.16026442,-0.15416496,-0.25510076,
VariableDeclarator,-0.14717779,0.038987767,-0.09957974,0.40356347,-0.048169237,0.1911865,-0.1574907,-0.4715536,-0.18219128,0.034305017,-0.022770893,-0.13544345,-0.09088624,0.21777156,-0.10154609,-0.32192868,-0.07833686,-0.072743714,-0.41727996,-0.30575177,0.33700213,0.14834628,0.4254407,0.5691996,-0.21834119,-0.014209851,-0.13683717,-0.20727675,-0.08614026,-0.36868086,
IfStatement,-0.272623,0.4362511,-0.39271158,-0.30014917,-0.0070145326,0.14131877,-0.03744912,-0.22541071,0.19517343,0.18936083,-0.057471145,-0.58647597,0.25880155,-0.16610487,-0.016041636,-0.27683035,-0.042092234,-0.11904537,0.17684993,-0.44804654,-0.08679555,0.52139103,0.047647506,0.2911774,-0.05622963,0.07806303,-0.37758473,-0.079034686,0.17984049,-0.29207376,
BasicType,-0.119134285,-0.2397012,-0.23724215,0.14663456,-0.3003039,0.49011117,-0.3603119,-0.43198028,-0.06482264,0.253056,-0.15907778,-0.32602602,-0.102288455,0.07462791,-0.31907496,-0.46652246,-0.16085456,-0.112955794,-0.051631566,-0.35657793,0.32544836,0.2792082,0.17910646,-0.003491598,-0.49227157,0.11047458,-0.28098464,-0.020980993,0.116920374,-0.13384129,
ReturnStatement,-0.25617853,0.19996378,-0.50166416,-0.33266833,-0.13534652,0.34989613,-0.17029603,-0.017269116,0.17974323,-0.034068692,-0.20179304,-0.5593634,0.4502079,-0.07402698,-0.121986166,-0.43906996,-0.2443946,-0.114829,0.09862221,-0.13335495,-0.21324447,0.41075572,-0.11669563,0.3525183,-0.5504194,0.29860228,-0.6543879,-0.2415138,0.44102708,0.11069,
FormalParameter,-0.35199833,-0.28852063,0.2273701,0.2657362,0.23621796,0.31461126,-0.26051638,-0.21122639,-0.0072570285,0.27167773,0.015838541,-0.4128201,0.12530786,-0.008782741,-0.28407872,-0.48378623,-0.06344695,-0.007437111,-0.3502609,-0.13506448,0.17690384,0.2917724,-0.13872203,0.49482474,-0.6710664,0.24510051,0.033341546,0.13607208,0.24357241,0.16904469,
BlockStatement,-0.2639854,0.14071625,0.06168248,0.09208006,-0.33858496,-0.021127354,-0.10398738,-0.121176064,0.051025238,0.11261443,-0.011684958,-0.5573563,0.18629809,-0.1712324,0.04559509,-0.024281796,-0.14580601,-0.36323315,0.0072242287,-0.3965036,0.25034997,0.4065431,0.41606,0.3452164,0.1555732,0.044234168,-0.35577855,-0.18280366,-0.19577911,-0.3186729,
