0	694 5 3 5 284 5 19 0 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 8 6 14 695 2 2 2 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 2 2 2 3 5 3 5 3 5 3 5 3 5 3 5 3 5 3 5 5 3 5 0 5 3 5 0 5 3 5 0 15 4 0 7 1 122 0 0 0 0 0 1 122 0 0 0 0 0 1 0 0 1 122 0 0 0 0 0 1 122 0 0 0 0 0 1 0 0 1 122 0 0 0 0 0 1 122 0 0 0 0 0 1 0 0 1 0 0 0 7 1 122 0 0 0 0 0 1 0 0 1 122 0 0 0 0 0 1 0 0 1 122 0 0 0 0 0 1 0 0 1 0 0 16 232 14 571 2 131 1 0 0 1 0 5 3 4 0 1 0 0 15 4 0 204 0 0 0 7 1 124 14 695 2 2 2 1 0 0 6 16 17 4 0 7 1 0 1 696 7 1 0 0 0 1 0 0 0 14 0 5 4 0 0 1 6 0 0 5 4 0 7 1 0 6 0 0 0 0 0 0 1 0 1 0 6 178 4 0 0 7 4 0 7 1 0 1 0 0 1 4 0 0 1 0 0 4 0 0 1 1 0 0 284 5 1 0 4 0 7 1 0 1 0 0 4 0 7 1 0 4 0 7 1 0 1 0 0 19 0 8 1 0 9 8 1 0 9 8 1 0 1 0 0 9 8 9 1 0 0 0 1 0 0 0 5 4 0 7 1 0 6 0 0 0 0 0 5 3 4 0 0 1 4 0 0 0 5 5 791 7 1 1094 0 5 3 12 13 7 4 0 0 1 15 4 0 0 0 5 5 791 7 1 1094 0 4 0 0 7 4 0 1 0 0 9 1 696 0 6 16 17 4 0 1 696 0 6 1 1094 0 1 0 15 24 0 5 5 791 1 0 1 0 0 0 5 1095 0 1095 5 5 791 1095 5 5 791 1095 5 5 791 1 0 16 17 14 571 2 0 0 4 0 6 0 7 1 696 0 6 7 1 1094 0 6 0 5 6 0 0 5 6 0 0 5 6 0 0 5 6 0 0 5 6 0 0 5 6 0 0 5 1 0 0 4 0 0 1 0 0 694 626 2 2 2 627 5 628 5 1096 5 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 5 0 1 0 5 0 1 0 5 0 1 0 5 694 626 2 2 2 627 5 628 5 1 0 0 0 572 626 2 2 2 627 5 628 5 1096 5 1 0 0 1 0 0 1 0 0 4 0 0 0 7 1 0 0 0 1 0 5 0 1 0 5 0 1 0 5 0 1 0 5 1 0 0 1 0 0 0 1 0 0 572 626 2 2 2 627 5 628 5 1 527 0 0 0 694 626 2 2 2 627 5 628 5 1096 5 1 695 2 2 2 0 0 0 694 626 2 2 2 627 5 628 5 1 0 0 0 572 626 2 2 2 627 5 628 5 1096 5 1 527 695 2 2 2 0 0 0 572 626 2 2 2 627 5 628 5 1 527 0 0 0 2 4 0 0 6 249 2 0 0 0 0 6 249 2 0 0 0 0 249 2 0 0 5 285 5 5 3 5 0 4 0 0 1 122 0 0 0 0 0 7 1 122 0 0 0 0 0 0 0 1 122 0 0 0 0 0 6 0 1 0 1 0 1 0 1 0 5 5 5 3 0 5 3 4 0 0 7 1 0 0 0 0 7 1 0 0 0 0 0 5 3 3 3 5 3 3 24 0 0 0 0 0 0 0 0 0 0 7 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 4 0 0 7 1 0 0 0 1 0 0 0 0 24 0 0 7 4 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 
1	1097 1097 144 2 1 0 0 792 27 2 793 2 4 0 1 233 0 0 1 303 233 0 0 5 27 2 6 936 0 2 6 303 1374 2 937 2 6 303 490 0 27 2 1 303 1375 0 27 2 1 303 262 0 2 
2	1376 1376 118 5 1 0 141 2 98 2 95 2 2 3 2 86 2 3 2 86 4 0 2 7 2 3 2 0 4 0 2 6 0 2 0 0 0 6 0 2 0 0 0 6 2 0 2 0 0 0 2 2 2 98 2 95 2 2 3 355 2 3 1098 0 2 3 0 0 4 0 14 49 2 5 3 274 4 0 7 2 3 2 86 6 0 0 0 0 0 6 938 0 0 1377 2 314 2 150 2 15 6 938 0 0 16 17 14 49 2 131 16 17 1 145 939 14 315 2 939 2 314 2 150 2 2 98 2 95 2 4 794 14 49 2 0 2 3 355 2 3 396 2 0 1 286 0 1 116 0 0 1 287 6 490 0 0 2 2 1378 2 98 2 95 2 2 3 355 2 3 1098 0 4 0 14 49 2 41 0 2 3 116 0 0 0 4 0 0 6 0 6 0 0 2 2 1378 2 98 2 95 2 2 3 795 2 3 116 0 0 0 4 0 0 6 0 6 0 0 2 314 2 1378 2 15 6 697 0 0 16 796 14 315 2 0 16 17 14 49 2 131 2 
3	1379 2 3 1379 118 5 1 0 334 2 250 2 6 797 0 1380 2 98 2 95 2 6 41 940 0 0 355 2 250 2 6 41 1098 0 1381 2 98 2 95 2 6 41 1099 0 0 355 141 2 98 2 95 2 14 133 2 112 2 6 0 2 
4	1382 1382 118 5 1 0 2 98 2 95 2 2 3 2 274 12 13 5 3 0 0 0 1 0 0 2 86 0 6 0 2 
5	1383 2 3 5 3 5 3 1383 118 5 1 0 1 0 141 2 314 2 98 2 95 2 1 145 0 1 0 0 6 116 0 0 141 2 98 2 95 2 2 3 2 86 4 0 2 7 4 0 14 49 2 2 3 2 0 2 3 102 1 0 5 0 4 0 0 14 49 2 0 0 2 3 0 12 13 5 3 0 0 0 7 1 0 0 88 0 4 0 0 1 0 30 0 6 0 7 1 0 5 274 12 13 5 3 0 0 0 7 15 2 3 2 86 0 1 0 0 2 0 16 17 14 49 2 0 6 0 2 
6	1384 1384 118 5 1 0 141 2 98 2 95 2 14 49 2 141 2 2 5 98 2 95 2 5 3 274 5 3 5 0 1 0 0 2 3 697 0 0 12 13 5 3 0 0 0 7 2 3 2 86 0 2 3 4 0 2 7 4 0 14 49 2 0 1 0 2 0 1 0 116 0 0 4 0 0 14 49 2 0 2 3 4 0 2 1 0 2 0 1 0 0 15 1 73 0 0 0 16 17 1 145 0 1 0 0 0 16 17 1 145 0 1 0 0 0 6 0 2 2 5 2 3 698 0 2 3 4 0 2 1 0 2 0 1 0 698 102 14 49 2 0 0 0 2 
7	1385 5 3 1385 118 5 1 0 141 2 98 2 95 2 2 3 2 86 4 0 14 133 2 2 3 1099 0 0 4 0 14 133 2 2 3 2 86 4 0 0 14 49 2 19 0 8 15 6 373 0 16 17 1 528 8 6 373 491 316 0 0 8 6 373 491 316 0 0 8 6 373 491 316 0 0 8 6 373 491 316 0 0 8 6 373 491 316 0 0 8 6 373 491 316 0 0 8 6 373 491 316 0 0 8 6 373 491 316 0 0 8 6 373 491 316 0 0 8 6 373 491 316 0 0 8 6 373 491 316 0 0 8 14 133 2 2 798 2 699 2 263 5 4 0 2 0 0 7 4 0 0 14 49 2 6 2 0 0 4 0 2 0 2 4 0 0 0 0 14 49 2 4 0 0 0 0 14 49 2 4 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 7 6 0 0 0 14 49 2 102 0 0 102 2 2 
8	421 5 3 421 118 5 1 0 141 2 98 2 95 2 2 3 2 86 4 0 0 7 4 0 0 6 67 2 4 0 2 6 67 2 2 3 355 2 3 2 86 5 3 573 0 102 6 67 2 0 4 0 0 0 0 7 2 3 0 4 1100 0 1 0 2 0 4 0 2 2 0 6 67 2 4 0 0 0 0 7 2 3 0 4 1100 0 1 0 2 0 4 0 2 2 0 6 67 2 5 3 0 2 3 2 86 5 3 0 4 0 1100 0 0 1100 0 7 4 0 0 0 0 7 15 6 0 0 0 16 17 1 528 19 0 8 6 67 2 0 0 8 6 67 2 0 0 8 4 0 2 0 2 6 28 28 8 4 0 2 0 2 4 0 0 0 0 14 49 2 4 0 0 0 0 14 49 2 14 49 2 0 0 5 264 2 6 0 2 0 0 0 0 5 264 2 6 0 2 0 2 0 2 2 2 
9	1386 1386 118 5 1 0 141 2 98 2 95 2 6 116 0 0 141 2 98 2 95 2 5 2 3 0 5 3 274 2 3 4 0 7 1 0 355 2 3 1097 2 0 1 1101 0 12 13 5 3 0 0 0 7 2 3 2 86 0 1 0 116 0 0 4 0 2 9 4 0 1 1101 0 6 0 2 
