emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
-0.067891404,-0.35094813,-0.058484655,-0.8258689,-0.25136733,-0.22193187,-0.9437967,0.19052428,-0.20041335,-0.3525048,-0.41753426,0.6313967,-0.3306918,-0.18959466,-0.009379264,0.5435566,-0.4196984,-0.5125121,-0.7212209,0.30117065,0.35830787,0.38419783,-0.21753088,-0.97683346,-0.11941949,0.6019352,0.3409056,0.11381948,0.7824015,-0.41347364,0.75557065,0.41847003
-0.11270531,-0.25467235,-0.0004563885,-0.69936806,-0.23826942,-0.22002132,-0.80463487,0.11883325,-0.18094838,-0.29028958,-0.31770137,0.43680942,-0.36238167,-0.0784623,0.0243159,0.467408,-0.3376315,-0.5069135,-0.63087744,0.26817417,0.39733616,0.35336253,-0.14109902,-0.8067839,-0.08836268,0.43173525,0.3287228,0.038214147,0.5928261,-0.3696996,0.6414247,0.32878146
-0.13276623,-0.40164548,-0.053471263,-0.80746156,-0.26438147,-0.38258246,-1.0358427,0.15199348,-0.18130839,-0.3291616,-0.36982298,0.52599466,-0.39951628,-0.20533925,0.013277058,0.54827684,-0.45187166,-0.6379555,-0.699159,0.30672303,0.43912348,0.35737962,-0.08321991,-1.0924371,-0.07313528,0.5547572,0.44774848,0.07369354,0.737128,-0.4602725,0.6793071,0.3678359
-0.09267337,-0.2669576,0.024447488,-0.66723555,-0.21872056,-0.21876773,-0.7749673,0.15071574,-0.10404817,-0.24598332,-0.27395418,0.401807,-0.4299908,-0.03171764,-0.0009926185,0.46246693,-0.34317493,-0.5470749,-0.6007623,0.26092052,0.46979088,0.34519348,-0.115055196,-0.8177443,-0.08046641,0.33827525,0.30436486,-0.029008325,0.56172884,-0.3746961,0.6404797,0.30584845
-0.08299427,-0.23686498,0.0027306606,-0.6862115,-0.17823967,-0.14023834,-0.72929883,0.1611775,-0.14488263,-0.24991906,-0.29237857,0.4381046,-0.35352162,-0.06756719,0.0076774997,0.43593314,-0.29548833,-0.45193487,-0.5907662,0.24728006,0.43312386,0.3697092,-0.17571402,-0.7772414,-0.08473742,0.37207222,0.24141596,-0.011595924,0.5599699,-0.358157,0.6501669,0.30867168
-0.076414585,-0.24245848,-0.013660284,-0.7711311,-0.23892087,-0.15176122,-0.8184967,0.18986611,-0.17113586,-0.30372417,-0.35359502,0.4806082,-0.38555717,-0.021236813,-0.0018476549,0.49483582,-0.3460924,-0.5002608,-0.6978808,0.26010266,0.44351792,0.4149896,-0.21821016,-0.8238188,-0.09656192,0.38400152,0.266951,0.0032550253,0.65859413,-0.39881104,0.73282707,0.36333242
-0.059373356,-0.22015186,0.050014015,-0.68202585,-0.24128412,-0.11165291,-0.7315109,0.11872111,-0.18138714,-0.2379525,-0.2932977,0.3814546,-0.37320793,-0.027793266,0.016499307,0.44523436,-0.27647376,-0.49441928,-0.6366969,0.24450143,0.4320804,0.3939581,-0.20306523,-0.7724819,-0.11231534,0.27746788,0.21599331,-0.050492994,0.55862176,-0.3646636,0.6553682,0.30502436
-0.061910544,-0.22031587,-0.011597688,-0.676224,-0.19758193,-0.13168645,-0.7261717,0.16490965,-0.14793521,-0.23353419,-0.2952088,0.41790298,-0.31274533,-0.03403814,0.008234388,0.44537014,-0.3024558,-0.43626183,-0.592332,0.22627702,0.3971665,0.35887778,-0.16605173,-0.7313021,-0.09542292,0.34399456,0.19554521,0.016806614,0.5612615,-0.34482405,0.6195182,0.3307742
-0.041914705,-0.34880468,0.08782871,-0.8644901,-0.37654248,-0.27375832,-1.0436525,0.070602454,-0.25981656,-0.3961325,-0.37615687,0.5182262,-0.50717145,-0.13707004,0.11288584,0.7035785,-0.45322126,-0.73950595,-0.8457071,0.33950552,0.4503932,0.48101324,-0.14768726,-1.0705907,-0.18798488,0.53785515,0.5478063,0.042978328,0.69826066,-0.5251778,0.8330201,0.4140878
-0.09625426,-0.25184286,0.022277702,-0.6900251,-0.24143346,-0.21348052,-0.82018316,0.15690964,-0.13355622,-0.2867611,-0.2729954,0.4378122,-0.3967866,-0.06522719,0.013943308,0.49723837,-0.35412487,-0.52078116,-0.6300218,0.2586592,0.43249282,0.38635534,-0.13437623,-0.81372,-0.061965887,0.3928181,0.3326934,0.008142921,0.56810683,-0.37490284,0.63735616,0.33832175
