name,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29
MemberReference,-0.23493361,-0.45528823,0.14589529,0.02001879,0.22033046,-0.5914754,-0.6538643,0.010645643,0.69295204,-0.1198251,0.2705084,-0.06492773,0.17762324,0.23976374,0.27247667,-0.5646105,0.058173448,0.643401,0.33565938,0.43776894,-0.09993654,-0.16639495,0.15260051,-0.4752454,0.40614146,0.39181337,0.070830666,0.707534,-0.6700321,0.44285506,
StatementExpression,-0.010089391,-0.6227705,-0.06940737,-0.24679242,-0.16498765,-0.35942334,-0.14822894,-0.52766746,0.3445077,-0.410477,0.6292467,0.015963113,-0.017284747,0.26444003,0.2724795,-0.7313151,0.13839874,0.2927213,0.1768452,0.76101553,0.4024015,-0.021693671,-0.19629654,-1.0019126,0.5309656,0.16670732,-0.09067567,0.7693629,-0.828131,0.4926101,
ReferenceType,-0.49003774,-0.3844784,-0.4402016,0.18712325,-0.06594277,0.17531575,-0.116978146,0.12065984,0.020745004,-0.022652522,0.044099376,0.06354137,-0.21341501,0.41429332,-0.19234191,0.36588517,0.47576344,0.019462705,0.2815757,0.7386581,0.16227704,-0.15017773,0.41853404,0.15355699,0.40212306,0.011888785,-0.4675029,0.90787065,-0.98740673,0.5310541,
VariableDeclarator,-0.2944527,-0.7162923,-0.16403304,0.17071146,0.52783227,0.14216194,-0.59276056,-0.094584465,-0.22183535,-0.16026838,0.51399887,0.027867794,-0.14605191,0.24302049,-0.040270254,-0.12895577,0.33570203,0.19385257,-0.10924725,0.41103822,-0.158367,-0.122771405,0.482341,-0.08316668,0.41998065,0.3771579,-0.25540462,0.85605615,-0.90716916,0.6175014,
IfStatement,-0.21552286,-0.01755814,0.1660015,-0.15556462,0.7291713,0.06983419,-0.31540564,-0.11894873,-0.0391357,0.11917376,-0.046926133,-0.06198182,0.42867753,0.016169047,0.2642296,-0.3383081,0.7207192,0.46906635,0.25815368,0.10093261,-0.7996793,0.06534039,-0.29564995,-1.137246,0.31551713,0.41951916,-0.064710066,0.7685122,-0.4362491,0.57813907,
BasicType,-0.64159346,-0.07248386,0.027912898,0.6452735,0.9934098,-0.014694294,-0.18058382,0.5948114,0.33307227,-0.037566595,0.4279042,-0.5741504,0.18095618,0.7384069,-0.22789012,-0.035766333,0.18979844,0.67534226,-0.19864799,-0.20516768,-0.20751183,-0.47085974,0.090232566,0.7667771,0.0507293,0.6042184,-0.19594437,0.4993083,-0.13111152,0.7411366,
BlockStatement,-0.201498,-0.22254466,-0.10019438,-0.08222389,0.5666806,0.10689499,-0.5934866,-0.5273065,0.14129865,-0.05176884,0.38028944,-0.3825151,0.03359678,0.1816521,0.3794221,-0.5473136,0.2209112,0.4367416,0.6277106,0.35128963,-0.8524868,-0.40416422,-0.26198053,-1.1635506,0.34911662,0.29052857,-0.13806866,0.3842079,-0.76842815,0.5457413,
ReturnStatement,-0.01932041,0.37093133,0.25804618,0.51467156,0.6808022,-0.20867178,-0.14999062,0.7346127,-0.38696653,0.40599346,-0.3339182,-0.3435843,0.12878639,0.40028274,0.31547529,-0.24151757,0.65647286,0.24316631,-0.081984885,0.0682297,-0.8984975,-0.42482498,-0.26960066,-0.022549039,0.26768276,-0.07169681,-0.44094488,0.72702074,-0.32500333,0.78467906,
SwitchStatementCase,-0.8866408,1.012285,0.08125981,0.15443449,1.7210875,-0.6795326,-0.009473089,-0.7857069,-0.9946034,1.3350937,-0.47121683,-0.1495133,0.10628177,0.37313637,0.87268347,0.12335979,-0.2640029,1.2906606,0.2543185,0.697076,0.36358848,-0.7571421,-0.77588683,-0.26911083,0.95313454,0.43863675,0.3641472,-0.3043372,-0.92218536,0.7829071,
BreakStatement,-0.92912036,0.6077178,0.30129677,0.09724208,1.4830763,-0.74854946,-0.26452848,-0.49884155,-0.59637195,0.3622272,0.27186215,-0.3080813,-0.03514735,0.16290157,0.66494143,-0.12469577,-0.3620562,0.9406789,0.3455739,0.60114515,-0.32406113,-0.8251355,-0.9397747,-0.7125687,0.86291784,0.32932553,0.11364275,0.17286299,-0.41600478,0.57074976,
