0	7 2 6 2 6 2 7 4 6 2 9 
1	15 6 2 3 0 4 5 5 5 4 5 4 5 4 5 4 0 4 5 4 0 7 4 6 4 7 4 6 4 9 0 7 2 4 5 4 5 0 18 10 4 5 3 0 8 0 0 10 3 0 1 0 3 0 8 0 10 8 0 11 9 3 0 0 0 3 0 0 11 9 2 2 0 0 0 0 0 2 
2	15 6 2 3 0 7 2 2 5 1 8 0 9 9 2 1 1 1 1 1 7 2 6 2 2 5 2 13 14 4 5 0 1 0 10 22 1 0 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 11 12 3 1 1 0 11 9 1 2 
3	7 2 6 2 6 2 9 2 0 2 
4	4 5 4 5 4 5 15 6 2 3 0 0 15 6 2 6 4 3 0 3 0 4 0 3 0 7 2 8 0 10 3 0 2 5 2 4 5 18 10 3 0 1 0 8 0 11 3 1 0 0 2 5 1 9 2 0 1 9 2 
5	4 5 4 5 15 6 2 6 4 6 4 3 0 3 0 0 3 0 0 7 2 13 14 2 5 1 0 0 1 10 4 5 1 1 8 0 0 0 0 10 9 0 9 2 
6	15 6 2 3 0 7 4 6 4 9 1 0 2 
7	15 6 2 3 0 7 2 2 5 1 8 0 9 3 0 1 9 0 2 
8	15 6 2 3 0 7 4 6 4 9 1 0 2 
9	2 5 2 5 2 15 6 2 3 0 0 7 6 2 6 2 3 1 0 0 7 2 6 2 6 2 2 5 2 1 0 8 0 10 3 0 0 9 1 0 0 7 2 9 0 0 2 
10	2 5 15 6 2 3 0 3 0 2 7 2 2 5 1 8 0 9 10 2 5 1 0 3 0 0 9 0 2 
11	4 5 4 5 5 5 5 4 5 4 5 4 5 15 3 0 4 0 3 0 7 3 0 3 0 7 6 4 8 0 0 0 10 4 5 4 0 0 13 14 4 5 0 0 0 3 0 0 0 0 3 0 0 3 0 0 0 7 2 9 2 0 0 7 4 9 0 7 4 9 0 7 4 6 4 22 0 0 12 9 12 9 0 0 1 0 12 9 7 4 4 5 4 5 0 18 10 8 0 0 9 0 8 1 0 11 3 0 3 0 18 10 18 10 8 0 0 9 0 8 1 0 11 3 0 3 0 3 0 18 10 8 0 0 9 0 8 1 0 11 3 0 3 0 7 4 4 5 13 14 0 0 0 0 0 8 1 0 9 9 7 4 6 4 8 0 0 9 8 0 0 0 0 9 9 1 0 7 4 6 4 8 0 0 1 0 1 0 1 0 9 10 4 5 0 0 8 0 0 0 9 9 7 4 6 2 4 5 1 4 5 0 0 8 0 0 9 13 14 4 5 0 0 0 8 0 0 0 1 0 9 3 0 0 0 9 7 6 2 4 5 1 4 5 0 13 14 4 5 0 0 0 3 0 0 0 1 0 3 0 0 0 3 0 7 6 2 8 1 3 1 0 7 8 0 0 10 8 1 3 0 8 1 3 1 8 0 0 3 0 8 1 10 8 1 3 0 8 1 1 1 10 3 0 0 8 1 3 1 8 1 3 1 8 1 3 1 8 1 0 10 4 5 0 0 8 0 0 0 3 0 8 1 1 0 3 1 7 8 1 1 10 3 0 0 3 0 7 8 0 0 9 22 0 0 12 8 1 10 3 1 11 8 1 10 3 1 11 11 12 8 1 10 3 1 11 8 1 10 3 1 11 11 12 8 1 10 3 1 11 11 12 8 1 10 3 1 11 8 1 10 3 1 11 8 1 10 3 1 11 8 1 10 3 1 11 8 1 10 3 1 11 11 12 8 1 10 3 1 11 8 1 10 3 1 11 8 1 10 3 1 11 11 12 8 1 10 3 1 11 8 1 10 3 1 11 8 1 10 3 1 11 8 1 10 3 1 11 11 12 8 1 10 3 1 11 8 1 10 3 1 11 8 1 10 3 1 11 11 12 8 1 10 3 1 11 7 22 0 0 12 8 1 10 3 1 11 8 1 10 3 1 11 8 1 10 3 1 11 11 12 8 1 10 3 1 11 11 12 8 1 10 3 1 11 8 1 10 3 1 11 11 12 8 1 10 3 1 11 11 7 8 0 0 9 22 0 0 12 8 1 11 9 12 8 1 11 8 1 11 9 12 8 1 11 9 12 8 1 11 9 12 8 1 11 8 1 11 9 12 8 1 11 8 1 11 8 1 11 8 1 11 9 12 8 1 0 0 0 0 0 11 8 1 11 9 12 8 1 11 9 12 8 1 11 8 1 11 9 12 8 1 11 9 12 8 1 11 9 12 8 1 11 9 12 9 8 1 3 0 0 7 3 0 0 8 0 0 10 4 5 1 8 0 0 1 0 3 0 8 0 0 1 0 1 3 0 7 2 6 2 8 1 1 1 9 1 9 0 7 4 6 4 9 1 0 0 7 4 6 4 6 4 6 4 3 1 8 0 0 10 4 5 4 0 0 3 0 0 13 14 4 5 0 0 0 3 0 0 0 0 0 3 0 0 9 1 7 4 6 4 6 4 9 1 0 0 7 4 9 1 7 4 6 4 3 0 0 3 0 0 8 0 0 10 3 1 3 1 3 1 3 1 3 1 3 1 8 0 0 3 0 3 0 0 9 0 7 6 2 2 5 2 13 14 4 5 0 0 0 10 19 2 5 2 0 0 4 5 4 4 5 5 5 3 0 1 0 3 0 3 1 18 10 8 0 0 3 0 0 0 10 3 0 1 0 3 0 8 0 3 0 3 0 0 0 8 1 4 0 10 3 1 1 4 0 10 3 1 3 1 1 3 1 8 0 11 10 3 1 4 0 3 1 20 21 3 1 0 0 
12	7 2 6 2 6 2 9 2 0 2 
13	2 5 2 5 15 3 0 1 0 15 6 2 3 0 0 15 6 2 3 0 1 0 15 6 2 3 0 1 0 15 6 2 3 0 1 0 7 2 6 2 6 2 9 2 2 0 0 2 
14	2 5 4 5 15 6 2 6 2 3 0 0 15 6 2 6 2 6 4 3 0 3 0 0 3 0 1 0 0 15 6 2 6 2 6 4 3 0 3 0 0 3 0 0 15 6 2 6 2 3 0 0 7 2 6 2 9 1 0 7 2 6 2 6 4 2 5 2 0 13 14 4 5 0 0 0 3 1 0 0 0 1 0 0 9 0 7 2 13 14 2 5 1 0 0 1 10 2 5 0 1 0 8 1 0 9 0 9 2 
15	4 5 15 6 2 6 4 6 4 3 0 0 3 0 0 3 0 0 15 6 2 6 4 6 4 6 2 3 0 0 3 0 0 3 0 0 3 0 0 7 6 4 8 0 17 2 0 3 0 0 7 4 9 0 7 2 9 0 7 4 9 0 7 4 9 0 7 2 9 0 7 2 2 5 2 3 1 0 0 0 8 1 3 1 0 8 0 3 1 0 3 1 9 1 
16	2 5 15 6 2 3 0 0 7 3 1 2 
17	2 5 15 15 6 2 3 0 0 7 3 1 2 
18	7 2 7 
19	7 2 6 2 6 2 9 2 0 2 
20	15 6 2 3 0 7 4 6 4 9 1 0 2 
21	7 2 6 2 2 5 2 2 5 19 3 0 2 0 3 0 1 0 8 0 3 1 9 0 7 2 6 2 2 5 2 2 5 19 8 0 2 10 3 0 2 0 10 3 0 2 0 2 5 18 0 1 10 3 1 1 8 0 3 1 9 0 7 2 6 2 2 5 2 13 14 2 5 1 1 10 2 5 2 1 3 1 0 0 9 0 
22	28 7 4 7 4 7 4 7 4 7 4 7 6 4 7 4 7 2 7 4 6 4 7 
23	16 4 5 15 6 2 3 0 0 7 4 8 0 0 3 1 9 0 0 7 4 5 0 0 3 0 4 4 5 4 0 3 1 0 0 0 3 0 0 3 1 0 0 0 0 3 0 0 3 0 0 3 0 3 1 0 0 0 0 8 0 17 2 3 0 0 7 4 3 0 0 9 1 7 6 4 3 0 0 7 2 9 2 0 0 0 0 7 4 6 4 4 5 4 0 3 1 0 0 0 0 0 9 0 7 19 3 1 20 21 3 1 0 7 4 9 0 0 7 4 9 7 4 9 0 0 7 4 9 7 4 9 0 0 7 4 9 2 
24	16 15 6 2 6 4 6 2 3 3 0 3 0 0 3 0 0 3 0 0 15 3 3 0 15 6 2 3 0 3 0 4 5 2 5 4 5 2 5 7 2 8 0 10 9 25 2 5 4 5 13 14 4 5 0 0 0 10 8 0 0 0 0 10 3 0 0 0 0 13 14 4 5 0 0 0 0 0 10 3 0 0 0 0 0 8 0 0 0 0 0 10 3 0 3 0 0 2 5 2 5 0 13 14 4 5 0 0 0 10 8 0 3 0 8 0 10 3 0 0 11 3 0 1 0 3 0 0 3 0 0 0 0 8 0 10 3 0 0 10 3 0 0 3 0 0 9 0 2 5 1 7 2 6 2 2 5 2 4 5 13 14 4 5 0 1 0 10 22 1 0 12 23 12 3 1 23 12 3 1 23 12 3 1 23 12 3 1 23 12 3 1 23 12 3 1 23 12 3 1 23 12 3 1 23 12 8 0 1 0 0 10 2 5 1 0 3 1 1 1 1 10 3 1 0 23 9 1 2 2 2 
25	2 5 2 5 0 15 3 0 15 6 2 3 0 0 15 6 2 3 0 1 0 15 6 2 3 0 1 0 15 6 2 3 0 1 0 7 2 6 2 6 2 2 5 2 0 3 0 2 0 3 0 2 0 3 0 2 0 0 9 0 2 
26	15 6 2 3 0 2 5 0 0 2 5 0 0 7 2 2 2 2 2 2 2 2 2 2 5 1 8 0 9 2 5 1 2 5 1 8 1 1 10 9 2 2 2 2 2 1 1 1 1 0 2 5 2 13 14 4 5 0 1 0 10 4 5 1 0 8 0 10 3 1 0 9 2 2 2 2 2 1 1 1 0 10 9 0 2 2 
