name,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29
MemberReference,0.04711982,0.019038718,-0.0717634,-0.008909152,-0.20208625,0.027858177,-0.15548658,-0.03232658,-0.08099453,0.014988179,-0.14498056,-0.42753035,0.20949616,0.21666908,0.22595236,-0.11710941,-0.11610636,-0.37452537,-0.028132807,-0.13226444,0.53189355,0.2843816,0.1479942,0.36614642,-0.14429806,-0.18551834,-0.08628493,0.12012942,-0.13710773,0.061037738,
MethodInvocation,-0.0052290983,0.259965,-0.11533364,0.07293213,-0.056390762,0.20559992,-0.06898119,-0.031489987,0.027534489,0.14277545,-0.051894628,-0.054781448,0.25248808,0.36379722,0.062486038,0.036003,-0.26041383,-0.27028462,-0.11934927,-0.19283964,0.5627377,0.31336308,0.064803585,0.30113828,-0.17316522,-0.22213288,0.14099471,0.13106175,-0.23900445,0.21368633,
ReferenceType,-0.06650951,0.41253123,0.40334335,0.105418816,0.062421817,0.13806818,-0.16357106,-0.1335366,-0.06910779,0.1075835,-0.21052688,-0.32798856,-0.01707621,0.18013541,-0.16092885,-0.15555601,-0.14726555,-0.17041895,-0.11341285,-0.54110116,0.42956164,0.50364625,0.13564323,0.4486406,-0.2157973,0.17887896,0.18800873,0.17615123,-0.07317331,-0.059151605,
StatementExpression,0.07752738,0.06481692,-0.14678375,-0.055515904,-0.108201474,0.11288448,-0.1394424,-0.12234348,-0.045660775,0.018904964,-0.15068196,-0.26569635,0.20945805,0.20550069,0.13690771,-0.13672458,-0.11263498,-0.2623052,-0.13389426,-0.20314316,0.48331124,0.23258293,0.26525375,0.31400913,-0.35986486,-0.1316827,-0.054507732,0.11615185,-0.117705,-0.044640258,
BasicType,-0.25216693,0.1675558,0.045000706,0.22909372,-0.11384096,-0.033820912,-0.31522012,-0.32147467,-0.1178001,0.124126196,-0.06546676,-0.32500097,-0.07020756,0.05355959,-0.23198625,-0.13344344,-0.006680163,-0.39602682,0.005291883,-0.19399942,0.5413408,0.46931425,0.17006452,0.36669752,-0.3013078,0.07431273,-0.016354935,-0.17001309,-0.11511433,-0.15435927,
VariableDeclarator,-0.2350297,0.30375576,0.013747076,0.112222396,-0.16889514,-0.031524863,-0.24100865,-0.40332714,0.065046445,0.07187375,-0.13668317,-0.38302118,0.047595177,0.17854531,-0.16675213,0.044054464,-0.11908489,-0.18678878,-0.13756515,-0.28373533,0.6344962,0.23257516,0.34176275,0.491599,-0.11063834,0.008612759,0.0056524375,-0.06584752,0.08293583,-0.1604015,
FormalParameter,-0.28142774,0.13790388,0.0595853,0.19699585,0.06809303,0.13045684,-0.40973347,-0.117349625,-0.11142823,0.2650488,-0.09957378,-0.2597283,0.016260682,-0.020362489,-0.27943292,-0.18658756,-0.16721158,-0.34211427,-0.13115256,-0.5323198,0.31666386,0.42283905,-0.092668615,0.53603774,-0.37303582,0.38732827,-0.06298335,0.11418928,0.038535193,-0.028192075,
MethodDeclaration,-0.2684706,0.25283468,0.031813014,0.22886111,-0.00549669,-0.043896798,-0.42665353,-0.027600162,-0.17860392,0.24828465,0.01706035,-0.22988619,0.008197668,0.0024274783,-0.26050788,-0.17398566,-0.13710316,-0.57070947,-0.0327885,-0.4163701,0.40083513,0.5204411,-0.25764805,0.4387603,-0.23566386,0.28961876,0.0983568,0.06529252,-0.17242058,0.08508898,
IfStatement,0.20805515,0.16630217,-0.17775545,-0.0807815,-0.29268584,0.13764459,-0.1677096,-0.014241372,-0.049678396,0.034202423,-0.13012543,-0.32980126,0.32168704,0.27732018,0.30855748,-0.15379584,-0.12797232,-0.3401204,0.0003387022,-0.1313972,0.46862403,0.22147788,0.122809544,0.25496995,-0.18448605,-0.20840466,0.024202054,0.23131718,-0.17902382,0.12620194,
ReturnStatement,-0.21101789,0.13824531,-0.03983936,0.07031645,-0.11430032,-0.00031400728,-0.3575822,-0.0626003,0.011788712,0.2936482,-0.0063686683,-0.03685269,0.07406486,0.06460994,-0.21851699,-0.104768075,-0.17172405,-0.6700913,-0.10821486,-0.29376212,0.45029137,0.42613184,-0.2663643,0.3299082,-0.30091885,0.1880809,0.20450895,0.017115727,-0.11053401,0.18113542,
