0	361 1 96 1 22 1 453 1 96 1 22 1 7 769 0 0 1 4 1 1 7 17 636 1 2 49 0 3 96 1 7 
1	1 4 1 4 132 1 2 0 50 1 235 1 18 0 5 0 6 2 0 637 1 2 0 2 0 35 5 36 6 7 1 4 1 20 7 1 47 149 5 0 6 2 0 35 235 1 8 9 1 4 20 0 0 0 20 0 6 2 19 47 1 
2	3 4 3 4 3 4 3 4 638 3 639 3 2 0 0 3 4 0 14 0 0 0 2 0 2 0 3 0 638 306 1 639 3 2 12 0 2 169 0 992 3 236 3 770 3 127 3 7 0 771 0 0 0 992 3 1 7 0 771 0 3 236 3 770 3 127 3 3 4 0 0 0 3 4 0 0 3 4 0 0 5 0 28 0 0 0 0 6 3 4 0 0 54 0 28 0 0 0 0 6 2 0 0 2 0 0 0 2 0 0 0 7 0 3 236 1 3 4 0 3 4 0 0 3 4 0 0 5 0 28 0 0 6 3 4 0 0 54 0 28 0 0 6 2 0 0 2 0 0 0 2 0 0 0 7 0 91 3 236 1 91 3 236 1 7 19 91 3 236 3 5 0 8 9 3 4 0 0 0 2 0 0 261 0 0 3 4 771 0 0 5 0 0 7 2 0 0 0 2 0 5 0 0 0 6 2 7 79 3 993 3 770 3 127 3 994 3 5 0 0 7 5 0 6 8 9 3 4 0 0 0 6 5 261 0 0 0 0 0 7 6 8 9 3 4 0 0 0 6 5 0 0 0 0 0 7 7 79 3 993 1 994 3 3 4 32 5 0 0 7 5 0 6 8 9 3 4 0 0 0 6 5 261 98 0 0 0 7 6 8 9 3 4 0 0 0 6 5 98 0 0 0 7 7 3 4 0 3 4 0 2 0 3 0 8 9 3 4 0 0 0 6 3 4 0 0 5 0 6 2 0 771 0 0 0 3 236 3 57 3 127 3 3 4 3 4 0 0 5 0 6 8 9 3 4 0 0 0 0 6 2 0 0 261 0 0 6 8 9 3 4 0 0 0 0 6 2 0 0 0 0 7 0 3 236 1 3 4 5 0 6 2 0 3 4 32 8 9 3 4 0 0 0 6 2 0 0 261 98 0 6 5 0 1 6 2 0 43 6 2 0 3 4 32 8 9 3 4 0 0 0 6 2 0 0 98 0 7 0 106 3 7 0 3 7 0 992 3 76 1 5 0 3 6 3 4 3 0 7 111 0 0 5 0 1 6 7 111 1 0 7 91 3 76 1 5 0 3 6 7 19 3 0 5 0 1 6 7 19 1 0 5 0 1 6 7 19 1 0 6 7 19 33 995 3 4 3 4 995 2 2 0 2 0 14 0 0 0 0 0 2 0 3 7 0 3 3 4 0 2 7 0 50 1 7 178 1 996 10 77 1 1 454 1 7 995 1 1 
3	132 1 2 0 3 4 4 4 3 4 3 4 3 4 3 0 997 3 306 3 237 3 306 3 7 0 50 1 235 1 18 0 2 85 3 4 3 4 0 3 4 405 14 6 5 0 0 6 2 0 0 2 0 125 0 5 0 6 5 0 11 7 2 0 3 4 0 0 2 0 0 0 2 772 0 2 0 2 0 0 7 0 149 132 1 2 80 0 2 0 2 0 2 0 1 
4	132 1 2 0 3 4 3 3 4 50 1 235 1 18 0 1 4 20 0 5 0 6 3 4 405 3 4 406 8 9 3 4 0 0 0 6 3 4 0 0 5 0 0 6 2 0 0 2 262 0 0 11 7 0 7 132 3 73 3 3 4 0 3 4 0 14 0 0 2 0 5 0 0 2 0 3 0 2 0 3 4 8 9 3 4 0 0 0 0 6 3 4 0 0 5 0 0 2 0 0 0 6 55 0 13 2 0 0 11 13 2 0 0 2 0 0 11 13 2 0 0 11 13 2 0 0 11 13 2 0 0 11 13 2 0 0 2 0 0 11 13 2 0 0 11 13 2 0 0 11 13 2 0 0 11 13 2 0 0 2 0 0 11 13 2 0 0 2 0 0 11 13 2 0 0 11 13 2 0 0 11 13 2 0 0 11 13 2 0 0 2 0 0 11 13 2 0 0 11 13 2 0 0 11 13 2 0 0 11 13 2 0 0 2 0 0 11 13 2 0 0 11 13 2 0 0 11 13 2 0 0 11 13 2 0 0 2 0 0 11 13 2 0 0 2 0 0 11 13 2 0 0 2 0 0 11 13 2 0 0 11 13 2 0 0 11 13 2 0 0 2 0 0 11 13 2 0 0 2 0 0 11 13 2 0 0 2 0 0 11 13 2 0 0 2 0 0 11 13 2 0 0 2 0 0 11 13 2 0 0 0 11 1 
5	361 1 96 1 22 1 7 640 1 0 453 1 96 1 22 1 1 4 1 641 5 0 6 2 0 640 1 0 2 642 0 2 80 0 7 0 1 
6	3 4 3 4 640 132 1 2 0 0 640 132 1 362 3 2 0 2 0 50 1 235 1 18 0 5 0 6 2 0 3 4 2 85 3 4 405 14 6 3 4 125 0 0 0 0 5 0 11 2 0 0 5 0 0 2 0 0 2 772 0 7 0 7 149 132 1 2 80 0 2 0 1 
7	3 4 3 4 179 1 643 3 528 3 2 0 2 0 0 2 0 0 50 1 235 1 18 0 8 9 1 4 20 0 0 0 20 0 6 3 4 406 5 0 0 0 0 6 7 0 7 1 
8	179 1 2 0 997 3 306 3 7 0 1 
9	773 179 1 2 0 50 1 235 1 18 0 1 4 20 0 5 0 6 3 4 405 3 4 406 8 9 3 4 0 0 0 2 0 0 261 0 0 7 0 7 1 
10	529 179 1 2 0 237 3 306 3 7 261 0 1 
11	1 4 1 4 86 1 1 2 0 0 96 1 206 1 2 53 0 0 361 1 96 1 22 1 1 4 1 17 0 5 0 6 2 0 0 7 769 0 0 453 1 96 1 22 1 1 4 1 17 0 5 0 2 0 0 7 0 0 3 96 1 1 4 1 17 0 5 0 2 0 0 7 0 40 1 7 0 0 1 
12	1 4 179 1 2 0 2 0 774 1 50 1 235 1 18 0 1 4 20 0 5 0 7 5 455 405 406 2 262 7 0 1 
