0	13 11 5 4 3 0 10 1 15 4 1 1 6 4 8 4 1 0 6 4 8 4 1 0 6 2 8 1 0 6 2 8 1 0 6 2 8 1 0 6 2 8 1 0 6 2 8 1 0 6 2 8 1 0 6 2 8 1 0 6 2 10 15 4 8 2 1 0 6 2 10 15 4 8 2 1 0 6 2 10 15 4 8 2 1 0 6 4 8 4 1 0 6 4 8 4 1 0 6 2 10 15 4 8 2 1 0 4 
1	13 4 7 11 3 11 5 4 3 0 11 5 4 3 3 0 0 11 5 4 5 4 3 0 3 0 0 6 4 8 0 4 
2	13 4 7 11 3 11 5 4 3 0 11 5 4 3 3 0 0 11 5 4 5 4 3 0 3 0 0 6 4 8 0 4 
3	13 11 3 11 5 4 3 0 11 5 4 3 0 11 5 4 5 4 3 0 0 4 
4	13 11 3 11 5 4 3 0 11 5 4 3 0 11 5 4 5 4 3 0 0 4 
5	13 11 3 11 5 4 3 0 11 5 4 3 0 11 5 4 5 4 3 0 0 4 
6	13 2 7 6 2 8 0 2 7 6 2 8 0 4 7 6 4 8 0 11 5 2 5 2 5 2 5 2 3 0 0 10 0 9 3 0 1 0 0 0 8 2 7 0 3 0 1 4 0 0 3 0 0 24 0 16 0 9 3 0 4 1 4 0 0 14 16 0 9 2 7 1 4 0 0 3 0 0 2 7 1 4 0 0 3 0 1 0 0 14 16 0 9 2 7 0 0 2 7 0 1 4 0 0 3 0 0 19 0 0 0 0 3 0 3 0 4 0 0 0 0 14 16 9 2 7 2 0 17 18 2 7 0 0 0 3 0 0 0 0 0 3 0 0 14 6 4 5 2 5 2 5 2 2 7 0 2 7 1 4 0 0 3 0 0 4 7 4 0 2 17 18 2 7 0 0 0 9 4 7 4 1 4 0 0 3 0 0 2 7 1 4 0 0 3 0 0 2 7 0 19 0 0 0 3 0 4 7 4 0 0 0 3 0 0 3 1 0 0 8 0 6 2 5 2 5 2 15 4 
7	13 2 7 2 2 2 2 7 2 2 2 6 4 8 0 6 4 8 0 4 7 6 4 8 0 4 7 6 4 8 0 2 7 6 2 8 0 4 7 6 4 8 0 11 11 5 4 10 1 0 9 2 7 1 2 7 2 0 3 1 0 0 3 1 0 0 15 4 11 5 2 5 2 5 2 10 1 0 0 0 3 1 0 0 0 15 4 11 5 2 3 0 0 6 2 5 4 2 7 10 1 15 4 1 1 3 1 0 2 7 2 0 2 7 1 0 1 0 1 2 7 1 0 0 3 1 8 0 6 2 5 2 5 2 5 2 4 7 4 0 0 3 0 0 10 1 1 0 8 4 7 4 0 0 3 0 0 10 1 1 0 8 4 7 4 0 0 3 0 0 4 7 4 0 0 3 0 0 4 7 4 0 0 3 0 0 10 1 8 8 6 5 2 5 2 5 2 3 0 4 0 0 3 0 0 3 0 4 0 0 3 0 0 3 0 4 0 0 3 0 0 3 0 4 0 0 3 0 0 3 0 1 4 0 0 3 0 0 3 0 4 17 18 2 7 0 0 0 9 4 7 4 0 0 3 0 0 0 3 1 0 6 2 8 1 4 1 0 6 2 8 1 4 1 0 6 4 8 1 1 6 4 5 2 8 1 1 0 6 2 5 2 8 1 1 0 6 2 8 1 1 6 4 10 0 15 4 0 8 4 1 
8	13 6 4 5 4 4 7 4 0 10 1 8 4 0 10 1 8 4 0 8 0 
9	13 4 7 4 7 6 4 8 0 2 7 6 2 8 0 2 7 6 2 8 0 2 7 6 2 8 0 4 7 6 4 8 0 11 5 2 5 2 3 0 4 0 0 3 0 0 3 0 1 4 0 0 3 0 0 3 0 1 4 0 0 3 0 0 3 0 1 4 0 0 3 0 0 3 0 4 0 17 18 2 7 0 0 0 9 2 7 1 4 0 0 3 0 0 2 7 1 4 0 0 3 0 0 2 7 10 0 0 3 0 0 0 0 3 0 1 4 0 0 0 0 3 0 0 4 0 0 0 0 0 3 0 4 1 6 4 5 2 3 0 17 18 2 7 0 0 0 10 0 0 0 1 8 0 0 1 3 0 8 6 2 5 2 4 7 4 1 0 10 0 8 1 8 2 7 6 2 8 0 6 4 5 2 4 7 10 0 3 0 4 1 4 0 10 0 3 0 1 1 1 0 10 0 3 0 0 8 0 
10	13 4 7 11 5 4 3 0 0 6 4 8 1 6 4 8 1 6 4 8 1 6 4 8 1 6 2 8 1 6 4 8 1 6 2 8 1 6 2 8 1 6 4 8 1 4 
11	13 11 5 4 3 0 10 1 15 4 1 1 6 4 8 4 1 0 6 4 8 4 1 0 6 4 8 4 1 0 6 4 8 4 1 0 6 4 8 4 1 0 6 4 8 4 1 0 6 4 8 4 1 0 6 4 8 4 1 0 6 4 8 4 1 0 6 4 8 4 1 0 6 4 8 4 1 0 6 4 8 4 1 0 6 2 8 1 0 6 2 8 1 0 6 2 8 1 0 6 2 10 15 4 8 2 1 0 6 4 8 4 1 0 6 2 8 1 0 4 
12	13 11 3 11 5 4 3 0 11 5 4 3 0 11 5 4 5 4 3 0 0 4 
13	13 6 2 5 2 5 2 10 0 0 8 17 18 2 7 0 0 0 10 0 0 0 0 8 8 6 5 2 5 2 5 2 5 2 5 2 17 18 2 7 0 0 0 3 0 0 0 0 0 0 6 2 5 2 2 7 17 18 2 7 0 0 0 3 0 0 0 0 2 7 2 0 2 7 17 18 2 7 0 0 0 17 18 2 7 0 0 0 0 0 3 0 0 0 0 0 8 0 6 2 5 2 5 2 5 2 2 7 2 0 3 1 0 0 0 0 8 0 2 7 6 4 5 2 5 2 2 7 2 0 2 0 2 7 0 2 7 0 0 8 4 0 
14	13 11 5 2 5 2 3 0 0 2 7 6 2 8 0 4 
15	13 11 5 2 5 2 3 0 0 2 7 6 2 8 0 6 2 5 2 5 2 4 7 4 3 0 4 0 0 3 0 4 0 0 0 3 0 4 0 0 0 3 0 4 0 0 0 3 0 4 0 0 0 3 0 4 0 0 0 3 0 4 0 0 0 3 0 4 0 0 0 3 0 4 0 0 0 3 0 4 0 0 0 3 0 4 0 0 0 2 7 17 18 2 7 0 0 0 3 0 0 0 1 0 3 0 2 0 2 7 17 18 2 7 0 0 0 9 2 7 0 0 1 17 18 2 7 0 0 0 3 0 0 0 0 8 0 4 
16	13 11 5 2 5 2 3 0 0 2 7 6 2 8 0 6 2 2 7 2 7 1 17 18 2 7 0 0 0 9 2 7 0 0 3 0 0 0 8 0 4 
17	13 2 7 11 5 2 5 2 3 1 0 0 6 2 8 0 6 2 5 2 5 2 2 7 1 3 0 2 0 17 18 2 7 0 0 0 3 0 0 0 0 0 0 8 0 6 2 
18	13 11 5 2 5 2 3 0 0 2 7 6 2 8 0 4 
