0	693 3 4 3 3 3 3 3 3 3 3 3 3 3 3 4 1045 0 693 511 3 9 1 11 1 3 3 4 192 0 0 8 63 1 1 7 3 4 244 3 2 92 66 2 88 63 5 0 8 66 0 66 0 7 3 4 3 2 92 66 2 88 63 5 0 7 3 4 3 37 135 3 66 3 4 8 0 7 67 2 0 3 837 3 2 92 66 2 88 63 69 99 2 0 5 0 1046 3 0 1047 3 260 3 3 4 207 3 3 4 18 19 1 4 0 0 0 7 3 4 1 4 2 0 0 0 67 2 0 1048 22 2 0 1049 3 69 1050 21 42 3 2 13 135 3 0 0 5 0 3 
1	512 1 4 512 15 1 694 1 2 0 0 512 418 1 695 1 694 1 2 0 0 0 1 694 1 8 0 0 2 0 1 5 0 1 5 147 0 1 1 4 0 513 514 0 8 0 0 7 1 4 1 0 2 58 0 0 0 2 0 0 2 12 0 1 0 1 5 147 0 1 1 4 0 513 514 0 8 0 0 7 1 4 1 0 2 58 0 0 0 2 0 0 2 12 0 1 0 1 5 22 0 1 2 12 0 1 0 1 4 696 513 514 0 8 0 0 7 1 4 1 0 2 58 0 0 2 0 0 1 50 1 1 4 513 514 1 4 1 0 2 58 0 0 0 0 0 0 5 0 50 1 697 1 1 4 513 514 2 58 0 0 0 0 0 0 35 3 3 4 31 3 4 29 3 2 6 0 2 6 696 0 2 6 0 2 6 514 0 18 19 1 4 0 696 0 7 2 6 0 32 0 0 2 6 0 5 368 838 368 1051 1052 0 26 1 9 1 11 1 1 4 22 0 0 1 4 22 0 0 1 4 22 0 0 1 4 513 0 0 8 0 0 2 58 0 0 0 0 5 0 1 1 8 0 5 1 0 5 0 3 
2	1 4 1 1 4 1 3 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 41 1 9 1 11 1 208 3 1 4 192 0 0 1 4 0 0 1 4 2 0 1 2 58 0 0 0 0 2 0 2 0 54 0 0 0 2 0 2 0 54 0 0 0 2 0 2 0 54 0 0 0 2 0 2 0 54 0 0 0 2 0 2 0 54 0 0 0 2 0 2 0 54 0 0 0 2 0 2 0 54 0 0 0 2 0 2 0 54 0 0 0 2 0 2 0 0 0 0 2 0 2 0 0 0 0 2 0 1 4 0 0 2 0 1 0 2 58 0 0 0 0 0 5 0 0 0 39 1 11 1 9 1 136 3 2 217 0 66 2 12 0 0 63 2 12 0 0 66 1 4 0 2 52 0 0 0 1 4 0 0 2 58 0 0 0 2 0 2 52 0 0 0 2 0 2 52 0 0 0 2 0 2 52 0 0 0 2 0 2 52 0 0 0 2 0 2 52 0 0 0 2 0 2 52 0 0 0 2 0 2 52 0 0 0 2 0 2 52 0 0 0 2 0 2 0 0 0 2 0 0 0 2 58 0 0 0 0 2 0 0 2 218 0 66 0 0 5 0 0 44 1 5 0 159 3 5 1 5 0 1 2 0 0 1 5 0 1 2 0 0 1 5 0 1 2 0 0 1 5 0 1 2 0 0 1 5 0 1 2 0 0 1 5 0 1 2 0 0 419 1 5 0 515 113 1 2 0 0 294 1 5 0 369 95 1 2 0 0 1 5 0 1 2 0 0 1 5 0 1 2 0 0 1 5 0 1 2 0 0 261 1 5 0 839 1 2 0 0 35 3 3 4 31 3 4 3 4 232 3 67 2 111 0 0 2 0 26 69 99 2 0 26 5 93 74 0 32 66 0 32 63 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 9 1 3 4 232 3 3 4 3 0 67 18 19 1 4 0 0 0 2 176 0 0 69 99 21 42 3 26 5 420 1 9 1 209 1 137 1 1 4 1 0 2 58 0 0 0 0 3 4 698 3 0 3 4 3 0 3 4 232 3 1 4 67 51 0 96 2 176 0 69 99 21 42 3 26 5 420 3 
3	233 233 418 1 40 1 2 0 0 1 5 0 1 5 0 3 
4	1 4 1 3 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 41 1 9 1 11 1 208 3 1 4 192 0 0 1 4 0 2 0 0 0 2 0 0 0 2 58 0 0 0 1 2 0 22 0 0 2 0 54 0 0 2 0 54 0 0 2 0 54 0 0 2 0 0 0 2 0 0 0 2 0 0 0 2 0 0 0 2 0 2 0 1 0 2 58 0 0 0 0 5 0 39 1 11 1 9 1 136 3 2 217 0 66 2 12 0 0 63 2 12 0 0 66 1 4 0 2 52 0 0 0 2 0 0 0 2 0 0 0 18 19 1 4 0 0 2 0 0 0 0 0 2 12 0 0 0 2 52 0 0 0 2 52 0 0 0 2 52 0 0 0 2 0 0 0 2 0 0 0 2 0 0 0 2 0 0 0 2 58 0 0 0 0 1 4 0 0 2 218 0 66 0 0 5 0 0 44 1 5 0 159 3 5 1 5 0 1 2 0 0 1 5 0 1 2 0 0 1 5 0 1 2 0 0 1 5 0 1 2 0 0 82 1 5 0 840 14 1 2 0 0 1 5 0 421 1 2 0 0 1 5 0 11 1 2 0 0 1 5 0 1 2 0 0 329 1 5 0 1053 80 1 2 0 0 1 5 0 1 2 0 0 1 5 0 1 2 0 0 1054 1 5 0 1055 1056 1 2 0 0 35 3 3 4 31 3 4 3 4 232 3 67 2 111 0 0 2 0 26 69 99 2 0 26 5 93 74 0 32 0 0 32 63 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 164 1 103 0 16 5 16 5 16 5 16 5 16 5 16 5 16 5 16 5 16 8 0 5 5 3 
5	1 4 1 3 4 1 4 1 4 1 4 1 4 41 1 9 1 11 1 208 3 1 4 192 0 0 1 4 0 1 4 2 0 54 0 0 0 2 0 2 0 54 0 0 0 2 0 2 0 54 0 0 0 2 0 2 0 54 0 0 0 2 0 5 0 39 1 11 1 9 1 136 3 2 217 0 66 1 4 0 2 12 0 0 63 2 0 2 12 0 0 66 2 0 2 52 0 0 28 2 0 2 52 0 0 0 2 0 2 52 0 0 0 2 0 2 52 0 0 0 2 0 2 52 0 0 0 2 0 2 218 0 66 0 0 5 0 0 44 1 5 295 1 5 0 159 3 5 35 3 3 4 31 5 93 74 0 32 0 0 32 63 0 0 0 0 0 0 0 0 0 1057 1 5 0 1058 1 2 0 0 1059 1 5 0 1060 1 2 0 0 1061 1 5 0 1062 1 2 0 0 1063 1 5 0 1064 1 2 0 0 3 
6	841 1 4 1 3 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 41 1 9 1 11 1 208 3 1 4 192 0 0 1 4 0 1 4 2 0 22 0 0 0 2 0 2 0 22 0 0 0 2 0 2 0 22 0 0 0 2 0 2 0 22 0 0 0 2 0 2 0 22 0 0 0 2 0 2 0 22 0 0 0 2 0 2 0 22 0 0 0 2 0 2 0 22 0 0 0 2 0 2 0 22 0 0 0 2 0 2 0 0 2 0 1 0 2 58 0 0 0 0 0 5 0 0 39 1 11 1 9 1 136 3 2 217 0 66 8 0 2 0 1 2 12 0 0 63 2 12 0 0 66 1 4 0 2 52 0 0 0 2 12 0 0 0 2 12 0 0 0 2 12 0 0 0 2 12 0 0 0 2 12 0 0 0 2 12 0 0 0 2 12 0 0 0 2 12 0 0 0 2 12 0 0 0 2 58 0 0 0 0 1 4 0 0 2 218 0 66 0 0 5 0 0 44 1 5 0 0 295 1 5 0 159 3 5 35 3 3 4 31 3 4 3 4 232 3 67 2 111 0 0 2 0 26 69 99 2 0 5 93 74 0 32 0 0 32 63 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1065 1 5 0 1066 1 2 0 0 1 5 0 1 2 0 0 1057 1 5 0 1058 1 2 0 0 1 5 0 1 2 0 0 1059 1 5 0 1060 1 2 0 0 1 5 0 1 2 0 0 1061 1 5 0 1062 1 2 0 0 1 5 0 1 2 0 0 1063 1 5 0 1064 1 2 0 0 1054 1 5 0 1055 1056 1 2 0 0 3 
7	516 1 4 1 3 4 1 4 41 1 9 1 11 1 208 3 1 4 192 0 0 1 4 0 2 0 1 0 2 58 0 0 0 0 5 0 39 1 11 1 9 1 136 3 2 217 0 66 8 0 2 0 1 2 12 0 0 63 2 12 0 0 66 2 52 0 0 0 2 58 0 0 0 0 1 4 0 0 2 218 0 66 0 0 5 0 0 44 1 5 0 0 295 1 5 0 159 3 5 35 3 3 4 31 3 4 3 4 232 3 67 2 111 0 0 2 0 26 69 99 2 0 5 93 74 0 32 0 0 32 63 0 0 0 1054 1 5 0 1055 1056 1 2 0 0 3 
8	842 1 4 1 842 15 1 694 1 2 0 2 0 0 842 418 1 695 1 694 1 2 0 0 2 0 0 1067 1 9 1 209 1 2 12 0 0 422 2 52 0 0 0 5 1068 1 9 1 209 1 2 58 0 0 0 0 5 0 1 5 0 160 1 101 3 8 0 5 8 0 3 5 3 4 3 0 8 84 0 0 5 5 1 5 0 330 1 5 422 35 3 3 4 3 4 232 3 67 2 111 0 0 2 0 26 69 99 2 0 26 67 2 210 69 99 2 211 5 368 838 368 1051 1052 31 0 3 
9	244 1 4 1 1 4 1 1 4 1 1 4 1 1 4 1 1 4 1 3 4 64 3 41 1 9 1 11 1 208 3 1 4 192 0 0 1 4 2 0 51 0 0 0 7 3 4 262 0 0 1 4 263 0 0 0 2 0 0 2 0 0 2 0 0 2 150 20 0 8 0 0 0 7 2 55 0 5 0 39 1 11 1 9 1 136 3 2 217 0 66 2 12 0 0 63 2 12 0 0 66 1 4 18 19 3 4 150 62 59 7 3 4 3 60 2 0 28 2 52 0 0 0 1 4 0 18 19 3 4 150 62 59 7 3 4 3 60 2 0 102 0 0 0 2 218 0 66 0 0 5 0 0 44 1 1 4 18 19 3 4 150 62 59 7 3 4 3 60 2 0 28 5 0 1069 3 5 0 1070 1071 3 2 0 0 159 3 103 1 66 16 5 16 5 16 5 16 5 16 5 16 5 16 5 32 66 1072 3 423 1 2 1073 0 0 18 19 3 4 62 59 7 3 4 3 60 2 1073 0 0 138 3 2 0 20 0 35 3 3 4 31 3 4 29 3 8 150 34 7 2 6 0 18 19 3 4 150 62 59 7 3 4 3 60 2 6 26 5 93 74 517 0 518 0 32 63 0 32 66 0 150 34 0 26 3 370 1 18 19 3 4 62 59 7 3 4 3 60 8 66 0 5 3 0 5 3 
