0	6 4 1 4 513 274 6 2 0 1 4 2 0 11 2 0 514 0 10 275 2 0 0 12 0 3 0 7 11 1 4 168 1 276 1 0 0 2 0 124 0 0 2 5 10 515 1 4 0 0 2 0 217 1 0 12 0 10 516 2 0 217 1 94 12 0 10 14 2 0 0 12 0 2 75 7 2 0 149 1 0 12 0 1 4 240 1 72 1 11 2 218 0 2 1 0 2 241 23 1 70 1 3 0 7 12 0 3 0 7 1 4 240 1 0 11 2 218 0 2 381 2 1 0 2 241 2 381 7 1 4 2 22 0 12 120 1 0 1 
1	1 4 72 2 72 23 1 2 0 72 1 2 0 72 23 1 1 2 0 2 0 0 142 1 0 1 21 1 5 26 0 1 21 1 40 1 5 15 0 0 6 21 1 5 169 0 1 5 517 242 1 21 1 5 150 0 1 1 4 11 2 0 1 518 2 0 142 1 0 10 151 5 0 1 1 
2	1 4 1 200 37 1 130 1 2 0 0 200 37 1 2 0 200 37 1 382 1 2 0 0 200 37 1 277 1 382 1 2 0 0 0 1 1 5 116 1 318 319 0 243 1 5 201 1 5 116 1 244 519 1 5 116 1 383 519 1 37 1 5 116 1 383 0 519 1 37 1 1 5 116 1 383 0 0 1 5 116 1 1 
3	520 278 1 37 1 130 1 5 200 1 0 0 278 1 37 1 5 200 1 0 278 1 37 1 382 1 5 200 1 0 0 278 1 37 1 277 1 382 1 5 200 1 0 0 0 1 
4	1 4 1 4 1 4 1 4 1 4 6 4 1 4 1 4 6 4 6 4 1 4 1 4 1 4 1 4 219 1 2 0 1 2 520 1 521 1 2 0 0 521 1 2 0 0 1 2 0 0 1 2 0 0 1 2 0 0 522 523 1 11 2 0 384 10 245 12 131 1 0 1 2 0 0 1 3 320 320 320 7 2 0 183 1 4 1 4 1 4 3 0 7 2 0 385 3 0 7 1 4 12 131 1 0 3 0 7 12 131 1 3 0 7 2 0 107 1 3 170 0 7 12 131 1 202 2 137 202 0 3 0 35 7 2 0 107 1 0 0 3 170 7 2 0 246 7 2 137 202 0 2 0 1 4 11 3 170 7 2 36 202 3 0 35 7 2 50 0 0 2 36 2 0 68 247 0 3 0 7 2 0 0 10 14 2 137 28 0 12 131 1 0 2 0 0 2 0 18 19 6 4 0 0 0 7 2 386 0 0 0 0 0 274 1 1 1 1 1 4 1 4 1 4 11 2 0 107 1 0 0 2 0 107 1 0 38 184 0 3 0 246 246 0 246 0 246 7 2 0 2 137 0 0 1 4 0 1 4 72 1 1 4 1 95 0 3 0 35 31 31 7 2 0 1 4 524 1 2 525 0 2 15 2 15 0 2 15 0 2 15 526 1 2 15 527 1 2 15 387 1 2 15 248 1 1 1 3 0 7 2 15 2 0 117 1 108 1 121 1 0 0 1 4 68 0 2 96 0 0 2 137 0 0 10 14 3 0 2 3 7 1 4 3 0 1 7 2 29 2 29 94 2 29 1 0 1 0 2 29 7 2 109 7 2 109 10 14 3 0 7 2 2 109 3 0 7 11 2 90 2 75 10 14 1 249 1 3 0 35 5 1 4 279 1 0 6 4 1 4 34 1 18 19 6 4 0 0 0 7 2 17 3 28 35 7 5 280 28 7 5 1 1 4 107 1 3 170 7 3 388 7 12 131 1 202 1 
5	387 1 1 1 4 34 1 6 4 250 1 4 6 4 4 18 19 0 0 0 0 0 7 16 0 0 8 2 0 9 8 2 0 9 8 2 0 9 8 2 0 9 8 3 0 7 2 17 0 0 0 0 2 17 0 2 0 2 0 0 3 0 0 7 2 17 0 0 0 0 5 28 
6	1 4 1 1 4 116 2 0 91 1 116 1 2 1 0 116 278 1 2 1 0 116 528 1 3 0 7 12 281 1 2 0 91 1 2 51 0 116 1 2 0 116 1 6 3 0 7 12 281 1 2 0 0 91 1 0 0 1 5 0 243 1 3 389 7 5 1 4 83 1 77 11 18 19 1 4 152 132 7 1 4 133 3 0 1 7 2 203 1 0 0 3 0 1 7 2 203 1 0 0 3 0 1 7 2 203 1 0 0 3 0 1 7 2 203 1 0 0 3 0 1 7 2 203 1 0 0 3 0 1 7 2 203 1 0 0 3 0 1 7 2 203 1 0 0 3 0 1 7 2 203 1 0 0 3 0 1 7 2 203 1 0 0 7 12 281 1 0 42 93 10 14 12 282 1 5 28 1 1 4 1 518 2 5 0 1 4 42 11 1 4 1 171 2 529 0 2 0 0 10 14 12 1 93 10 14 12 282 1 6 5 6 48 1 5 0 1 1 0 1 1 5 116 1 318 319 0 0 530 6 48 1 5 51 0 530 220 6 48 1 2 51 0 0 6 125 1 5 529 0 6 220 6 125 1 5 529 0 0 2 283 6 48 1 5 0 6 125 1 5 0 159 1 220 6 5 26 0 6 48 1 5 110 0 6 5 389 1 5 152 6 48 1 5 184 0 1 5 1 220 6 5 0 185 1 220 6 5 150 0 185 6 48 1 5 150 0 6 125 1 5 0 6 125 1 5 0 1 220 6 48 1 5 0 0 6 5 77 1 6 6 5 116 1 0 0 1 5 242 1 390 1 5 242 0 1 531 1 2 27 2 27 2 27 2 27 2 27 2 27 1 1 1 
7	524 1 278 1 6 1 4 83 1 1 4 93 11 2 0 0 10 14 5 28 1 
8	526 1 14 1 1 4 91 1 2 0 0 5 116 1 0 14 1 1 18 19 1 4 383 152 132 7 1 4 1 133 2 51 0 2 0 0 
9	1 4 1 1 1 1 4 172 0 2 0 1 26 0 3 0 7 2 0 1 0 2 15 0 0 5 0 
10	527 532 1 533 1 1 5 116 1 318 319 0 0 532 1 533 1 1 5 116 1 318 319 0 0 532 1 533 1 1 5 116 1 318 319 0 0 
11	1 4 142 1 1 4 142 1 221 221 102 1 11 2 0 10 14 2 29 0 221 48 1 11 2 0 10 14 2 29 0 102 1 2 222 0 48 1 2 42 159 1 1 11 1 4 1 26 0 3 0 5 26 1 26 0 10 14 5 1 1 4 18 19 6 4 0 0 0 7 6 4 0 0 321 3 0 534 0 7 2 15 0 0 93 0 0 2 15 0 0 93 0 
12	43 2 36 43 1 2 36 0 43 39 1 2 36 0 251 21 1 40 1 2 50 0 0 252 21 1 40 1 2 143 0 0 253 21 1 2 254 0 284 153 1 1 4 2 285 0 153 1 2 285 0 255 1 21 1 5 95 0 103 6 23 1 531 1 223 1 1 5 52 0 0 0 168 1 286 1 0 103 6 23 1 70 1 223 1 1 1 4 1 4 11 2 0 60 0 0 2 0 168 1 276 1 0 0 10 515 1 4 0 0 12 217 1 0 5 52 0 0 0 0 103 6 23 1 70 1 223 1 160 1 1 4 11 2 0 124 0 0 10 516 12 217 1 94 3 0 7 1 4 240 1 0 2 218 0 11 11 2 36 0 10 14 2 22 0 0 2 161 0 0 2 241 5 5 6 138 1 223 1 224 1 23 1 70 1 3 0 0 0 0 0 7 2 22 5 3 186 0 0 7 2 22 0 5 1 4 34 1 2 17 0 2 17 18 19 6 4 0 0 0 7 2 17 2 17 0 0 2 17 11 6 4 52 0 0 0 28 5 0 10 14 2 22 0 5 322 6 97 1 23 1 70 1 5 535 0 60 0 0 0 0 322 6 97 1 111 1 23 1 70 1 1 4 68 0 0 3 0 7 2 22 0 5 7 2 96 0 0 5 139 1 37 1 5 68 0 139 1 37 1 111 1 5 68 0 0 6 154 1 5 323 0 287 63 1 2 134 0 162 63 1 2 65 0 256 63 1 2 22 0 288 63 1 2 187 0 536 21 1 40 1 2 0 0 6 154 1 5 0 1 
13	1 4 391 1 43 2 36 43 1 2 36 0 43 39 1 2 36 0 251 21 1 40 1 2 50 0 0 252 21 1 40 1 2 143 0 0 253 21 1 2 254 0 284 153 1 1 4 2 285 0 153 1 2 285 0 255 1 21 1 5 95 0 103 6 23 1 531 1 223 1 1 5 52 0 0 0 168 1 286 1 0 103 6 23 1 70 1 223 1 1 1 4 1 4 11 2 0 60 0 0 2 0 168 1 276 1 0 0 10 515 1 4 0 0 12 217 1 0 5 52 0 0 0 0 103 6 23 1 70 1 223 1 160 1 1 4 11 2 0 124 0 0 10 516 12 217 1 94 3 0 7 1 4 240 1 0 2 218 0 11 11 2 36 0 0 10 14 2 22 0 0 2 161 0 0 2 241 5 5 6 138 1 223 1 224 1 23 1 70 1 3 0 0 0 0 0 7 2 22 5 3 186 0 0 7 2 22 0 5 1 4 34 1 2 17 0 2 17 18 19 6 4 0 0 0 7 2 17 2 17 0 0 2 17 11 6 4 52 0 0 0 28 5 0 10 14 2 22 0 12 0 322 6 97 1 23 1 70 1 5 535 0 60 0 0 0 0 322 6 97 1 111 1 23 1 70 1 1 4 68 0 0 3 0 7 2 22 0 5 7 2 96 0 0 5 139 1 37 1 5 68 0 139 1 37 1 111 1 5 68 0 0 6 97 1 5 323 0 287 63 1 2 134 0 162 63 1 2 65 0 256 63 1 2 22 0 288 63 1 2 187 0 536 21 1 40 1 2 0 0 1 
14	1 4 1 4 1 4 6 1 3 0 7 5 6 4 3 0 1 7 2 0 1 0 2 0 3 0 1 7 2 0 1 0 2 0 3 0 1 7 2 0 1 0 2 0 5 0 6 1 3 0 7 5 6 4 3 0 0 7 2 0 2 0 3 0 0 7 2 0 2 0 3 0 0 7 2 0 2 0 5 0 392 1 393 1 40 1 3 0 7 5 0 5 0 0 394 6 395 1 396 1 3 0 7 5 5 0 0 397 1 398 1 173 1 14 1 3 0 7 12 0 5 538 0 0 0 6 23 1 3 0 1 7 1 4 1 0 2 399 5 7 5 1 1 1 
15	
16	397 1 398 1 173 1 14 1 1 
17	394 6 395 1 396 1 1 
18	392 1 393 1 40 1 1 
