0	9 6 1 6 17 8 9 3 0 1 6 3 0 15 3 0 2 0 13 14 3 0 0 16 0 5 0 10 15 1 6 1 1 0 0 3 0 2 0 0 3 2 7 13 14 1 6 0 0 3 0 1 0 16 0 13 14 3 0 1 2 16 0 13 14 3 0 0 16 0 3 2 10 3 0 1 0 16 0 8 1 6 1 1 15 3 2 0 3 1 0 3 2 8 4 1 4 1 5 0 10 16 0 5 0 10 1 6 1 0 15 3 2 0 3 2 3 1 0 3 2 3 2 10 1 6 3 2 0 16 1 0 1 
1	1 6 17 3 17 4 1 3 0 17 4 1 3 0 17 4 1 4 1 3 0 3 0 0 1 0 8 1 4 1 7 2 0 8 1 4 1 4 1 7 2 0 0 8 9 4 1 7 2 0 8 1 7 2 2 8 1 4 1 7 2 0 8 1 1 6 15 3 0 1 25 3 0 1 0 13 14 7 0 1 1 
2	1 6 1 17 4 1 4 1 3 0 0 17 4 1 3 0 17 4 1 4 1 3 0 0 17 4 1 4 1 4 1 3 0 0 0 8 1 4 1 7 1 2 2 0 8 1 7 2 8 1 7 1 25 8 1 7 1 25 8 1 4 1 7 1 25 0 8 1 4 1 4 1 7 1 25 0 0 8 1 7 1 25 1 
3	17 8 1 4 1 4 1 7 1 0 0 8 1 4 1 7 1 0 8 1 4 1 4 1 7 1 0 0 8 1 4 1 4 1 4 1 7 1 0 0 0 1 
4	1 6 1 6 1 6 1 6 1 6 9 6 1 6 1 6 9 6 9 6 1 6 1 6 1 6 1 6 1 17 3 0 1 3 2 1 8 4 1 3 0 0 8 4 1 3 0 0 8 4 1 3 0 0 8 4 1 3 0 0 8 4 1 3 0 0 8 4 1 15 3 0 2 13 14 16 1 0 8 4 1 3 0 0 8 4 1 5 2 2 2 10 3 0 8 1 6 1 6 1 6 5 0 10 3 0 2 5 0 10 1 6 16 1 0 5 0 10 16 1 5 0 10 3 0 1 5 2 0 10 16 1 2 3 2 2 0 5 0 2 10 3 0 1 0 0 5 2 10 3 0 2 10 3 2 2 0 3 0 1 6 15 5 2 10 3 2 2 5 0 2 10 3 2 0 0 3 2 3 0 2 2 0 5 0 10 3 0 2 0 13 14 3 2 2 0 16 1 0 3 0 2 0 3 0 2 20 21 9 6 0 0 0 10 3 2 0 0 0 0 0 8 4 1 4 1 4 1 4 1 1 6 1 6 1 6 15 3 0 1 0 0 3 0 1 0 2 2 0 5 0 2 2 0 2 0 2 10 3 2 0 3 2 0 0 1 6 2 0 1 6 1 1 6 1 2 0 5 0 2 2 2 10 3 0 1 6 1 3 2 0 3 2 2 3 2 0 3 2 2 0 3 2 1 3 2 1 3 2 1 3 2 1 1 1 5 0 10 3 2 2 3 0 1 1 1 0 0 1 6 2 0 3 2 0 0 3 2 0 0 13 14 5 0 3 2 5 2 10 1 6 2 5 0 1 10 3 2 3 2 2 3 2 1 0 1 0 3 2 10 3 2 10 3 2 13 14 5 0 10 3 2 3 2 5 0 10 15 3 2 3 2 13 14 8 1 4 1 5 0 2 7 1 6 1 0 9 6 2 1 6 1 20 21 9 6 0 0 0 10 3 2 5 2 2 10 7 2 2 10 7 8 4 1 1 6 1 2 5 2 10 5 2 10 16 1 2 1 
5	17 8 1 4 1 1 6 1 9 6 2 1 6 9 6 6 20 21 0 0 0 0 0 10 19 0 0 11 3 0 12 11 3 0 12 11 3 0 12 11 3 0 12 11 5 0 10 3 2 0 0 0 0 3 2 0 3 0 3 0 0 5 0 0 10 3 2 0 0 0 0 7 2 
6	1 6 1 1 6 17 3 0 1 17 4 1 3 1 0 17 4 1 3 1 0 17 4 1 5 0 10 16 1 3 0 1 3 2 0 17 4 1 3 0 17 4 1 4 9 5 0 10 16 1 3 0 0 1 0 0 8 1 7 0 8 1 5 2 10 7 1 6 1 2 15 20 21 1 6 2 2 10 1 6 2 5 0 1 10 3 2 1 0 0 5 0 1 10 3 2 1 0 0 5 0 1 10 3 2 1 0 0 5 0 1 10 3 2 1 0 0 5 0 1 10 3 2 1 0 0 5 0 1 10 3 2 1 0 0 5 0 1 10 3 2 1 0 0 5 0 1 10 3 2 1 0 0 5 0 1 10 3 2 1 0 0 10 16 1 0 2 2 13 14 16 1 7 2 8 1 1 6 1 25 3 2 7 0 8 1 6 2 15 1 6 1 2 3 2 0 3 0 0 13 14 16 1 2 13 14 16 1 8 9 7 2 8 9 4 1 7 0 1 1 0 8 1 4 1 7 1 2 2 0 0 8 9 4 1 7 2 0 8 4 9 4 1 3 2 0 0 8 9 4 1 7 2 0 8 9 4 9 4 1 7 2 0 0 8 3 2 8 9 4 1 7 2 0 8 9 4 1 7 2 0 8 1 4 9 7 2 0 8 9 4 1 7 2 0 8 9 7 2 8 1 7 2 8 9 4 1 7 2 0 8 1 7 2 8 1 4 9 7 2 0 8 1 4 9 7 2 0 8 9 4 1 7 2 0 8 9 4 1 7 2 0 8 9 4 1 7 2 0 8 1 4 9 4 1 7 2 0 0 8 9 7 2 8 1 4 9 4 9 7 1 2 0 0 8 1 7 2 8 1 4 1 7 2 0 18 8 4 1 4 1 3 2 3 2 2 3 2 3 2 3 2 2 2 3 2 1 1 1 
7	17 8 1 4 1 4 9 1 6 1 1 6 2 15 3 2 0 0 13 14 7 2 1 
8	17 8 1 4 1 1 6 1 3 2 0 0 7 1 0 8 4 1 4 1 20 21 1 6 2 2 2 10 1 6 1 2 3 2 0 3 2 0 0 
9	1 6 1 17 8 1 4 1 1 6 28 0 3 0 1 2 0 5 0 10 3 0 1 0 3 2 0 0 7 0 
10	17 8 1 4 1 4 1 7 1 2 2 0 0 8 1 4 1 4 1 7 1 2 2 0 0 8 1 4 1 4 1 7 1 2 2 0 0 
11	1 6 1 1 6 1 17 17 4 1 15 3 2 0 13 14 3 2 0 17 4 1 15 3 2 0 13 14 3 2 0 8 4 1 3 2 2 0 8 4 1 3 2 2 8 1 4 1 15 1 6 1 2 0 5 0 7 2 1 2 0 13 14 7 8 4 1 1 6 2 20 21 9 6 0 0 0 10 9 6 0 0 2 5 2 0 2 0 10 3 2 0 0 2 0 0 3 2 0 0 2 0 
