0	1320 1 7 686 1937 1 2 17 1938 1 7 1 7 4 7 0 4 7 0 4 7 0 4 7 0 
1	1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 7 1 1 3 0 0 7 0 451 1 3 2 0 1939 0 5 0 2 0 2 0 1939 0 5 0 2 0 2 0 2 0 2 1940 80 2 0 1 1 3 641 2 0 1 0 2 13 2 0 127 2 1135 1 3 1577 1 1 3 1577 1 1 3 502 1 1578 1 393 0 1 3 642 595 1 0 1 3 528 2 394 595 1 0 1136 1 0 2 17 2 1135 9 20 2 1135 2 17 2 140 1 5 0 6 2 2 0 2 0 2 0 5 0 6 2 2 0 2 0 2 0 1321 1 2 0 0 1321 1 2 0 0 2 0 2 0 1 1 1 34 1 2 0 0 2 0 0 2 0 0 2 0 0 1 3 1 3 147 1 212 1 2 0 0 2 0 0 1941 1 199 1 1 3 101 1 4 3 25 10 11 4 3 0 0 0 6 4 3 35 0 5 0 6 2 8 5 0 6 2 8 5 0 6 2 8 5 0 0 6 4 3 5 0 0 6 15 168 1 131 0 6 2 0 35 0 5 0 0 15 168 1 131 0 1 503 0 2 0 0 0 2 8 2 8 503 0 2 8 6 2 8 0 7 22 1 2 0 2 0 641 13 393 0 2 1579 9 737 2 17 65 7 0 1 1 2 0 0 2 0 2 0 2 0 641 13 393 0 2 1579 9 737 2 17 65 7 0 1 1 3 1578 1 1 3 502 1 0 1 3 13 1 3 452 1 0 0 393 0 1 3 528 1 3 595 1 22 1 3 1136 1 0 2 394 0 0 2 0 22 9 20 2 140 2 354 9 2 140 7 0 1 7 0 1 7 0 1 7 1137 1942 1 554 1 1 5 0 6 2 0 0 5 0 6 2 0 0 7 1942 1 554 1 5 0 6 2 0 0 2 0 7 1942 1 1 3 2 1135 393 0 1 3 1 3 1 3 1578 1 1 3 502 1 0 1 3 1136 1 0 2 1135 13 2 0 452 1 0 0 1 3 595 1 22 2 0 452 1 0 0 1 3 595 1 22 1 3 528 0 5 0 2 738 0 0 2 394 0 0 9 1943 2 140 2 354 9 20 2 140 2 354 2 1135 2 0 22 7 0 4 3 4 3 1322 19 6 2 5 6 13 2 0 2 0 2 0 6 2 0 2 0 2 0 9 20 2 140 393 0 2 1580 6 13 2 9 737 2 140 1 1 
2	1581 1 1944 1 4 117 1 121 1 117 1 1323 1 157 1 1 1 1 1 1324 1 1 1 1 
3	1945 1 3 1945 273 1 2 0 0 1582 4 158 1 996 1 5 0 1 6 1 3 1 0 2 1325 1326 0 7 1 
4	1 3 1 3 1 3 1 1 3 13 2 0 159 1 1 9 20 2 0 1 311 1 1 3 5 16 2 0 5 0 6 13 1 3 1 226 641 0 2 0 1327 0 9 687 2 0 279 0 9 20 2 0 2 0 279 0 2 0 279 0 7 0 1328 1 1329 1 2 0 0 2 0 0 1330 4 1583 1 1331 4 280 1 1332 1 555 1 216 1 504 1 330 1 1333 886 1 280 1 118 1 997 1 504 1 
5	1 3 1 3 1 3 165 1 0 0 312 1 453 1 2 0 0 2 0 0 1333 886 1 280 1 118 1 997 1 504 1 1584 1 555 1 1 3 165 1 0 0 1 3 0 5 0 0 1 7 1 0 7 1330 4 555 1 7 1585 0 1331 4 1138 1 5 165 1 0 0 6 7 6 1 3 378 19 0 0 0 6 5 0 1 0 7 1 3 378 5 0 2 0 429 5 0 2 0 304 2 0 0 7 4 1946 1 19 304 304 1 6 5 304 1 7 2 0 304 7 1332 1 555 1 216 1 504 1 330 1 1 3 2 0 1 23 13 10 11 4 3 0 0 0 6 2 0 0 556 21 0 1 3 1585 0 1 3 106 1 3 1 998 2 53 0 0 1 3 379 4 3 5 1947 0 2 0 1334 0 0 7 0 9 20 15 43 1 0 1 
6	1948 1 3 1 3 1 3 56 1 1 3 56 1 1 3 1 3 1 3 1 3 1 3 1 3 1 3 1 3 59 1 13 2 0 739 0 2 0 159 1 1 1 3 739 0 2 0 159 1 1 0 0 1 2 0 159 1 1 1 279 9 20 2 0 2 0 2 0 2 0 2 140 1948 1328 1 1 1 1329 1 1 1 185 1 2 0 0 5 0 6 1 3 1 4 3 23 10 11 4 3 0 0 0 6 1 3 21 0 5 0 6 1 3 1 4 3 23 10 11 4 3 0 0 0 6 1 3 21 0 2 0 0 2 0 0 5 0 6 1 3 13 2 0 452 1 0 9 1586 4 3 45 4 3 45 5 0 0 0 0 6 2 0 6 13 2 0 452 1 452 1 529 0 0 9 5 0 6 13 1 3 1587 1 3 1335 4 3 4 2 0 2 0 227 1 0 9 169 5 0 13 2 0 127 2 0 226 0 1 0 2 226 0 1 0 0 0 9 20 2 140 1330 4 1583 1 7 29 0 1331 4 280 1 7 29 0 1332 1 555 1 216 1 504 1 330 1 1 3 13 2 0 1 23 10 11 4 3 0 0 0 6 1 3 21 0 2 0 0 0 1 1 0 0 2 0 0 0 5 0 0 1 6 2 0 0 1336 1 1 0 7 226 0 1 0 0 9 20 2 140 1 3 65 5 0 6 5 89 6 2 0 31 25 15 43 1 0 6 1333 886 1 280 1 118 1 997 1 504 1 1 3 1 3 1337 1 0 0 13 1 3 51 1 2 28 0 2 28 0 2 0 0 0 0 106 9 20 15 43 1 65 0 5 0 6 2 1949 0 0 1 
7	1 3 1 3 56 1 1328 1 1329 1 311 1 2 0 0 2 0 0 1 504 1 1 1 7 29 0 1 504 1 1 1 1 7 18 0 0 1 
8	1 3 1 3 1328 1 1329 1 311 1 2 0 0 0 13 2 0 739 0 9 20 1330 4 1583 1 1 3 1139 4 3 0 10 11 4 3 0 0 0 6 5 0 0 49 16 0 7 7 1331 4 280 1 1 3 1139 4 3 0 10 11 4 3 0 0 0 6 5 0 0 49 16 0 6 1 3 0 0 474 5 0 0 530 1 0 530 1 6 7 7 1332 1 555 1 216 1 504 1 330 1 1 3 1 3 1 3 13 2 0 1 23 2 0 1 10 11 4 3 0 0 0 6 2 0 0 21 0 1 3 1 999 0 0 5 0 6 13 2 0 474 2 1000 0 0 0 0 7 127 0 9 20 2 0 1338 0 0 0 0 2 1001 0 0 0 7 127 0 4 3 1 3 2 0 1 23 2 0 1 10 11 4 3 0 0 0 6 2 0 0 21 0 1 3 1 999 0 0 5 0 6 13 2 0 474 2 1000 0 0 0 0 5 1140 887 7 226 0 6 4 3 0 0 5 530 0 1 2 0 5 0 0 7 226 0 0 6 2 0 0 5 0 1 2 0 1 0 7 226 0 0 9 20 5 23 6 2 0 0 5 0 1 2 0 1 0 5 530 176 2 0 0 2 0 0 6 2 0 2 0 0 2 0 159 0 0 0 0 0 0 2 1001 0 0 0 7 226 0 0 5 1140 887 7 226 0 6 5 0 6 2 0 127 7 226 0 0 9 1588 1 3 1950 5 0 1 15 43 1 1 0 15 43 1 0 9 20 15 43 1 0 1333 886 1 280 1 118 1 997 1 504 1 1 3 1 3 1 999 0 5 0 6 13 2 0 0 0 5 0 1140 887 2 0 127 9 20 15 43 1 65 0 2 1001 0 0 1 3 1337 1 0 0 13 2 0 226 0 1 0 0 9 20 1 3 1950 5 0 15 43 1 65 0 15 43 1 65 0 9 20 15 43 1 65 0 5 0 6 2 1949 0 0 1 
9	1328 1 1329 1 311 1 2 0 0 0 1330 4 1583 1 13 1 3 0 0 4 3 148 5 0 6 1 3 739 31 0 1 3 1139 4 3 0 2 0 31 0 10 11 4 3 0 0 0 6 5 0 0 49 16 0 7 9 687 7 1331 4 280 1 13 1 3 0 0 4 3 148 5 0 6 1 3 739 31 0 1 3 1139 4 3 0 2 0 31 0 10 11 4 3 0 0 0 6 5 0 0 49 16 0 6 1 3 0 0 474 5 0 0 530 1 0 530 1 6 7 9 687 7 1332 1 555 1 216 1 504 1 330 1 1 3 1 3 1 3 1 3 4 3 148 1 3 1 3 1 3 13 2 0 1 23 2 0 1 10 11 4 3 0 0 0 6 2 0 0 21 0 1 3 1 999 0 0 5 0 6 13 2 0 474 2 1000 0 0 0 0 7 127 0 9 20 2 0 0 31 0 13 2 0 739 0 9 20 15 43 1 0 2 0 1338 0 0 0 0 2 1001 0 0 0 7 127 0 2 0 1 23 2 0 1 10 11 4 3 0 0 0 6 2 0 0 21 0 1 3 1 999 0 0 5 0 6 13 2 0 474 2 1000 0 0 0 0 7 226 0 9 20 2 0 0 31 0 2 0 31 0 13 2 0 739 0 9 20 15 43 1 0 2 0 159 0 0 0 0 0 0 2 1001 0 0 0 7 226 0 5 23 6 2 0 21 2 0 1 0 2 0 1 23 2 0 1 10 11 4 3 0 0 0 6 2 0 0 21 0 1 3 1 999 0 0 0 5 0 6 13 2 0 474 2 1000 0 0 0 0 7 226 0 0 9 20 2 0 176 2 0 159 0 0 0 0 0 0 2 1001 0 0 0 0 7 226 0 0 9 1588 1 3 1950 5 0 1 15 43 1 1 0 15 43 1 0 9 20 15 43 1 0 1333 886 1 280 1 118 1 997 1 504 1 1 3 1 3 1 3 1 999 0 5 0 6 13 1 3 0 0 4 3 148 5 0 13 2 0 739 31 0 9 20 15 43 1 0 2 0 31 0 2 0 0 0 5 1140 887 6 9 20 15 43 1 0 2 1001 0 0 1 3 1337 1 0 0 13 2 0 226 1 0 0 9 20 15 43 1 0 5 0 6 2 1949 0 0 1 
