0	16 7 1 10 2 2 2 2 2 2 2 7 6 1 3 2 2 7 1 10 7 1 10 7 5 10 0 7 5 10 0 7 5 10 0 7 5 10 0 
1	16 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 19 7 1 10 7 1 1 4 0 0 10 0 7 1 4 3 0 2 0 8 0 3 2 0 3 0 2 0 8 0 3 2 0 3 0 2 3 0 2 3 2 7 3 0 1 1 4 2 3 0 1 2 0 3 2 17 3 0 2 3 2 1 4 1 1 4 1 1 4 1 1 28 0 1 4 2 1 0 1 4 2 3 2 1 0 1 0 3 2 3 2 11 12 3 2 3 2 3 2 7 6 1 7 8 0 9 3 2 3 0 3 0 3 0 7 8 0 9 3 2 3 0 3 0 3 0 7 6 1 3 0 0 7 6 1 3 0 0 7 3 0 3 0 7 6 1 6 1 6 1 6 1 3 0 0 3 0 0 3 0 0 3 0 0 1 4 1 4 7 6 1 6 1 3 0 0 3 0 0 7 1 6 1 1 4 1 5 4 2 13 14 5 4 0 0 0 9 5 4 2 0 8 0 9 3 2 8 0 9 3 2 8 0 9 3 2 8 0 0 9 5 4 8 0 0 9 20 1 2 0 9 3 0 2 0 8 0 0 20 1 2 0 1 2 0 3 0 0 0 3 2 3 2 2 0 3 2 9 3 2 0 10 2 7 1 3 0 3 0 2 17 28 0 3 2 11 12 3 2 2 10 0 7 1 6 1 3 0 0 3 0 3 0 3 0 2 17 28 0 3 2 11 12 3 2 2 10 0 7 1 1 4 1 1 4 1 0 1 4 17 1 4 1 0 0 28 0 1 4 2 1 4 1 2 1 4 1 0 3 2 0 0 3 0 2 11 12 3 2 3 2 11 12 3 2 10 0 7 1 10 2 0 7 1 10 2 0 7 1 10 2 2 7 1 6 1 6 1 8 0 9 3 0 0 8 0 9 3 0 0 10 2 7 1 6 1 8 0 9 3 0 0 3 0 10 2 7 1 1 4 3 2 28 0 1 4 1 4 1 4 1 1 4 1 0 1 4 1 0 3 2 17 3 0 1 0 0 1 4 1 2 3 0 1 0 0 1 4 1 2 1 4 2 0 8 0 3 2 0 0 3 2 0 0 11 12 3 2 3 2 11 12 3 2 3 2 3 2 3 0 2 10 0 16 5 4 5 4 7 22 9 3 2 8 9 17 3 0 3 0 3 0 9 3 0 3 0 2 3 0 2 11 12 3 2 28 0 3 2 9 17 3 2 11 12 3 2 1 1 
2	26 7 1 7 1 7 5 6 1 7 1 6 1 7 1 6 1 1 1 1 1 7 1 1 1 1 
3	16 1 4 19 6 1 3 0 0 7 5 6 1 6 1 8 0 1 9 1 4 1 0 3 2 2 0 10 1 
4	16 1 4 1 4 1 4 1 1 4 17 3 0 2 1 1 11 12 3 0 7 1 6 1 1 4 8 2 3 0 8 0 9 17 1 4 1 2 2 0 3 0 2 0 11 12 3 0 2 0 11 12 3 0 3 0 2 0 3 0 2 0 10 0 19 6 1 6 1 3 0 0 3 0 0 7 5 6 1 7 5 6 1 7 1 6 1 6 1 6 1 6 1 7 6 1 6 1 6 1 6 1 6 1 
5	16 1 4 1 4 1 4 1 0 0 19 6 1 6 1 3 0 0 3 0 0 7 6 1 6 1 6 1 6 1 6 1 7 1 6 1 1 4 1 0 0 1 4 2 0 8 0 0 1 10 1 0 10 7 5 6 1 10 2 0 7 5 6 1 8 1 0 0 9 10 9 1 4 2 22 0 0 0 9 8 0 1 2 0 10 1 4 2 8 0 3 0 2 8 0 3 0 2 3 0 0 10 7 5 6 1 22 2 2 1 9 8 2 1 10 3 0 2 10 7 1 6 1 6 1 6 1 6 1 1 4 3 0 1 2 17 13 14 5 4 0 0 0 9 3 0 0 2 2 0 1 4 2 0 1 4 2 1 4 1 2 3 2 0 0 1 4 2 5 4 2 8 2 0 3 0 2 0 0 10 0 11 12 20 1 0 1 
6	16 1 4 1 4 1 4 1 1 4 1 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 4 1 17 3 0 2 0 3 0 2 1 1 1 4 2 0 3 0 2 1 1 0 0 1 3 0 2 1 1 1 2 11 12 3 0 3 0 3 0 3 0 3 2 19 6 1 6 1 6 1 6 1 6 1 6 1 6 1 3 0 0 8 0 9 1 4 1 5 4 2 13 14 5 4 0 0 0 9 1 4 2 0 8 0 9 1 4 1 5 4 2 13 14 5 4 0 0 0 9 1 4 2 0 3 0 0 3 0 0 8 0 9 1 4 17 3 0 1 0 11 12 5 4 2 5 4 2 8 0 0 0 0 9 3 0 9 17 3 0 1 1 2 0 0 11 12 8 0 9 17 1 4 2 1 4 2 5 4 5 2 3 2 0 3 0 1 0 11 12 8 0 17 3 0 2 3 0 2 0 1 0 3 2 0 1 0 0 0 11 12 3 2 7 5 6 1 10 2 0 7 5 6 1 10 2 0 7 1 6 1 6 1 6 1 6 1 1 4 17 3 0 1 2 13 14 5 4 0 0 0 9 1 4 2 0 3 0 0 0 1 1 0 0 3 0 0 0 8 0 0 1 9 3 0 0 1 1 0 10 2 0 1 0 0 11 12 3 2 1 4 2 8 0 9 8 2 9 3 0 2 2 20 1 0 9 7 6 1 6 1 6 1 6 1 6 1 1 4 1 4 1 0 0 17 1 4 1 3 2 0 3 2 0 3 0 2 0 0 0 2 2 11 12 20 1 2 0 8 0 9 3 2 0 0 1 
7	16 1 4 1 4 1 19 6 1 6 1 6 1 3 0 0 3 0 0 7 1 6 1 6 1 6 1 10 2 0 7 1 6 1 6 1 6 1 6 1 10 2 0 0 1 
8	16 1 4 1 4 19 6 1 6 1 6 1 3 0 0 0 17 3 0 2 0 11 12 7 5 6 1 1 4 2 5 4 0 13 14 5 4 0 0 0 9 8 0 0 2 2 0 10 10 7 5 6 1 1 4 2 5 4 0 13 14 5 4 0 0 0 9 8 0 0 2 2 0 9 1 4 0 0 2 8 0 0 2 1 0 2 1 9 10 10 7 1 6 1 6 1 6 1 6 1 1 4 1 4 1 4 17 3 0 1 2 3 0 1 13 14 5 4 0 0 0 9 3 0 0 2 0 1 4 1 2 0 0 8 0 9 17 3 0 2 3 2 0 0 0 0 10 2 0 11 12 3 0 2 0 0 0 0 3 2 0 0 0 10 2 0 5 4 1 4 3 0 1 2 3 0 1 13 14 5 4 0 0 0 9 3 0 0 2 0 1 4 1 2 0 0 8 0 9 17 3 0 2 3 2 0 0 0 0 8 2 2 10 2 0 9 5 4 0 0 8 2 0 1 3 0 8 0 0 10 2 0 0 9 3 0 0 8 0 1 3 0 1 0 10 2 0 0 11 12 8 2 9 3 0 0 8 0 1 3 0 1 0 8 2 2 3 0 0 3 0 0 9 3 0 3 0 0 3 0 2 0 0 0 0 0 0 3 2 0 0 0 10 2 0 0 8 2 2 10 2 0 9 8 0 9 3 0 2 10 2 0 0 11 12 1 4 2 8 0 1 20 1 1 0 20 1 0 11 12 20 1 0 7 6 1 6 1 6 1 6 1 6 1 1 4 1 4 1 2 0 8 0 9 17 3 0 2 0 0 8 0 2 2 3 0 2 11 12 20 1 2 0 3 2 0 0 1 4 1 0 0 17 3 0 2 0 1 0 0 11 12 1 4 2 8 0 20 1 2 0 20 1 2 0 11 12 20 1 2 0 8 0 9 3 2 0 0 1 
9	16 19 6 1 6 1 6 1 3 0 0 0 7 5 6 1 17 1 4 0 0 5 4 2 8 0 9 1 4 2 2 0 1 4 2 5 4 0 3 0 2 0 13 14 5 4 0 0 0 9 8 0 0 2 2 0 10 11 12 10 7 5 6 1 17 1 4 0 0 5 4 2 8 0 9 1 4 2 2 0 1 4 2 5 4 0 3 0 2 0 13 14 5 4 0 0 0 9 8 0 0 2 2 0 9 1 4 0 0 2 8 0 0 2 1 0 2 1 9 10 11 12 10 7 1 6 1 6 1 6 1 6 1 1 4 1 4 1 4 1 4 5 4 2 1 4 1 4 1 4 17 3 0 1 2 3 0 1 13 14 5 4 0 0 0 9 3 0 0 2 0 1 4 1 2 0 0 8 0 9 17 3 0 2 3 2 0 0 0 0 10 2 0 11 12 3 0 0 2 0 17 3 0 2 0 11 12 20 1 0 3 0 2 0 0 0 0 3 2 0 0 0 10 2 0 3 0 1 2 3 0 1 13 14 5 4 0 0 0 9 3 0 0 2 0 1 4 1 2 0 0 8 0 9 17 3 0 2 3 2 0 0 0 0 10 2 0 11 12 3 0 0 2 0 3 0 2 0 17 3 0 2 0 11 12 20 1 0 3 0 2 0 0 0 0 0 0 3 2 0 0 0 10 2 0 8 2 9 3 0 2 3 0 1 0 3 0 1 2 3 0 1 13 14 5 4 0 0 0 9 3 0 0 2 0 1 4 1 2 0 0 0 8 0 9 17 3 0 2 3 2 0 0 0 0 10 2 0 0 11 12 3 0 2 3 0 2 0 0 0 0 0 0 3 2 0 0 0 0 10 2 0 0 11 12 1 4 2 8 0 1 20 1 1 0 20 1 0 11 12 20 1 0 7 6 1 6 1 6 1 6 1 6 1 1 4 1 4 1 4 1 2 0 8 0 9 17 1 4 0 0 5 4 2 8 0 17 3 0 2 2 0 11 12 20 1 0 3 0 2 0 3 0 2 0 0 8 2 2 9 11 12 20 1 0 3 2 0 0 1 4 1 0 0 17 3 0 2 1 0 0 11 12 20 1 0 8 0 9 3 2 0 0 1 
